instance_id,process_key,business_key,status,apply_user,amount,start_time,end_time
PI-000016,invoice_verification,INV-000004,completed,EMP-0078,42005.27,2024-01-04 13:27:00.700615,2024-01-04 22:51:41.548077
PI-000017,purchase_order,PO-000005,completed,EMP-0055,91667.22,2024-01-03 07:02:48.591444,2024-01-03 15:46:32.566963
PI-000018,goods_receipt,GR-000006,completed,EMP-0069,0.0,2024-01-05 08:18:10.462098,2024-01-05 19:20:39.957210
PI-000019,goods_receipt,GR-000007,completed,EMP-0064,0.0,2024-01-07 12:04:46.416843,2024-01-07 21:48:41.987340
PI-000020,invoice_verification,INV-000005,completed,EMP-0081,90146.21,2024-01-09 06:36:06.530236,2024-01-09 13:51:35.737145
PI-000021,purchase_requisition,PR-000004,completed,EMP-0013,13342.76,2024-01-01 20:50:34.046685,2024-01-02 03:43:46.064701
PI-000022,purchase_order,PO-000006,completed,EMP-0059,100341.72,2024-01-02 08:29:40.046556,2024-01-02 19:35:59.018768
PI-000023,goods_receipt,GR-000008,completed,EMP-0063,0.0,2024-01-04 04:16:04.274726,2024-01-04 12:58:45.486877
PI-000024,invoice_verification,INV-000006,completed,EMP-0078,100230.22,2024-01-06 21:57:59.517890,2024-01-07 09:52:10.806528
PI-000025,purchase_requisition,PR-000005,completed,EMP-0010,1184.72,2024-01-02 02:29:19.005188,2024-01-02 08:45:19.325003
PI-000026,purchase_order,PO-000007,completed,EMP-0054,51877.79,2024-01-02 14:54:53.525394,2024-01-02 22:34:02.116473
PI-000027,goods_receipt,GR-000009,completed,EMP-0066,0.0,2024-01-04 01:41:39.824182,2024-01-04 13:01:52.488033
PI-000028,invoice_verification,INV-000007,completed,EMP-0076,52336.24,2024-01-07 21:29:46.699269,2024-01-08 12:14:26.378562
PI-000029,purchase_requisition,PR-000006,completed,EMP-0035,35977.13,2024-01-02 03:35:09.755297,2024-01-02 09:06:14.205440
PI-000030,purchase_order,PO-000008,completed,EMP-0058,68313.46,2024-01-03 08:34:59.683432,2024-01-03 15:18:36.334395
PI-000031,goods_receipt,GR-000010,completed,EMP-0062,0.0,2024-01-05 15:35:02.860330,2024-01-05 23:26:04.577491
PI-000032,goods_receipt,GR-000011,completed,EMP-0069,0.0,2024-01-08 01:27:41.146499,2024-01-08 09:26:23.568907
PI-000033,invoice_verification,INV-000008,completed,EMP-0082,68181.08,2024-01-09 15:56:42.485562,2024-01-10 00:43:06.373719
PI-000034,purchase_order,PO-000009,completed,EMP-0060,157688.33,2024-01-03 04:50:13.117757,2024-01-03 06:57:18.898482
PI-000035,goods_receipt,GR-000012,completed,EMP-0064,0.0,2024-01-03 14:54:08.072556,2024-01-04 00:00:34.087689
PI-000036,goods_receipt,GR-000013,completed,EMP-0066,0.0,2024-01-06 20:10:55.757670,2024-01-07 03:20:12.423331
PI-000037,invoice_verification,INV-000009,completed,EMP-0081,157085.47,2024-01-10 09:35:35.584325,2024-01-10 16:09:33.649754
PI-000038,purchase_requisition,PR-000007,completed,EMP-0030,88842.11,2024-01-02 08:58:54.064354,2024-01-02 13:56:23.138757
PI-000039,purchase_order,PO-000010,completed,EMP-0061,17016.5,2024-01-03 10:44:58.691627,2024-01-03 15:25:35.462291
PI-000040,goods_receipt,GR-000014,completed,EMP-0063,0.0,2024-01-06 02:11:39.098744,2024-01-06 10:43:28.595629
PI-000041,invoice_verification,INV-000010,completed,EMP-0077,16869.58,2024-01-10 02:40:39.769958,2024-01-10 11:38:11.427662
PI-000042,purchase_requisition,PR-000008,completed,EMP-0011,110619.22,2024-01-02 12:37:07.405099,2024-01-02 19:46:01.908558
PI-000043,purchase_order,PO-000011,completed,EMP-0054,116945.8,2024-01-03 16:16:10.556226,2024-01-03 20:48:43.404314
PI-000044,goods_receipt,GR-000015,completed,EMP-0063,0.0,2024-01-05 07:38:59.156357,2024-01-05 10:25:55.426694
PI-000045,goods_receipt,GR-000016,completed,EMP-0068,0.0,2024-01-05 12:32:29.639349,2024-01-05 19:44:44.249968
PI-000046,invoice_verification,INV-000011,completed,EMP-0077,115091.81,2024-01-08 19:14:47.077051,2024-01-09 04:30:43.493009
PI-000047,purchase_requisition,PR-000009,completed,EMP-0025,19537.85,2024-01-02 16:41:48.768268,2024-01-03 01:19:36.738602
PI-000048,purchase_order,PO-000012,completed,EMP-0057,86521.06,2024-01-03 03:24:24.681117,2024-01-03 14:16:20.029288
PI-000049,goods_receipt,GR-000017,completed,EMP-0066,0.0,2024-01-05 17:56:24.231967,2024-01-06 02:57:53.105690
PI-000050,invoice_verification,INV-000012,completed,EMP-0082,52710.53,2024-01-06 14:35:29.514450,2024-01-07 04:30:37.438694
PI-000051,invoice_verification,INV-000013,completed,EMP-0077,34803.6,2024-01-10 05:09:36.645458,2024-01-10 16:35:09.558655
PI-000052,purchase_order,PO-000013,completed,EMP-0054,15333.18,2024-01-03 04:42:22.092111,2024-01-03 08:39:26.174047
PI-000053,goods_receipt,GR-000018,completed,EMP-0065,0.0,2024-01-06 04:49:24.840672,2024-01-06 09:44:15.630064
PI-000054,invoice_verification,INV-000014,completed,EMP-0076,9201.47,2024-01-10 06:24:30.788366,2024-01-10 17:05:40.842670
PI-000055,invoice_verification,INV-000015,completed,EMP-0082,6231.1,2024-01-15 02:15:29.432727,2024-01-15 08:57:28.027400
PI-000056,purchase_requisition,PR-000010,completed,EMP-0023,137960.55,2024-01-02 20:05:35.409114,2024-01-03 03:36:15.596434
PI-000057,purchase_order,PO-000014,completed,EMP-0060,149712.41,2024-01-03 09:48:07.546484,2024-01-03 16:33:57.599229
PI-000058,goods_receipt,GR-000019,completed,EMP-0068,0.0,2024-01-06 11:56:26.097095,2024-01-06 19:52:05.574541
PI-000059,goods_receipt,GR-000020,completed,EMP-0064,0.0,2024-01-08 05:59:32.021241,2024-01-08 12:49:31.376898
PI-000060,invoice_verification,INV-000016,completed,EMP-0080,150206.23,2024-01-11 11:16:44.957237,2024-01-12 02:30:29.778121
PI-000061,purchase_requisition,PR-000011,completed,EMP-0034,16518.91,2024-01-02 22:14:41.745460,2024-01-03 07:07:33.341133
PI-000062,purchase_order,PO-000015,completed,EMP-0053,286995.36,2024-01-03 10:45:04.278749,2024-01-03 23:56:30.916388
PI-000063,goods_receipt,GR-000021,completed,EMP-0064,0.0,2024-01-05 00:23:18.525467,2024-01-05 15:57:34.167115
PI-000064,invoice_verification,INV-000017,completed,EMP-0082,282968.44,2024-01-07 15:37:43.941836,2024-01-08 02:51:52.121124
PI-000065,purchase_requisition,PR-000012,completed,EMP-0017,93534.32,2024-01-03 01:45:35.086260,2024-01-03 09:07:43.974631
PI-000066,purchase_order,PO-000016,completed,EMP-0053,180869.76,2024-01-04 08:07:26.215856,2024-01-04 17:43:34.681751
PI-000067,goods_receipt,GR-000022,completed,EMP-0064,0.0,2024-01-05 03:13:02.821782,2024-01-05 09:28:52.183291
PI-000068,invoice_verification,INV-000018,completed,EMP-0081,106392.44,2024-01-06 09:21:41.964303,2024-01-06 19:27:02.679616
PI-000069,invoice_verification,INV-000019,completed,EMP-0079,72624.59,2024-01-11 15:50:43.891775,2024-01-12 04:24:09.214227
PI-000070,purchase_requisition,PR-000013,completed,EMP-0006,97306.78,2024-01-03 05:14:13.726301,2024-01-03 08:38:31.641196
PI-000071,purchase_order,PO-000017,completed,EMP-0057,225082.68,2024-01-04 07:24:11.437999,2024-01-04 12:41:24.520656
PI-000072,goods_receipt,GR-000023,completed,EMP-0064,0.0,2024-01-06 11:01:25.202649,2024-01-06 17:46:01.725019
PI-000073,invoice_verification,INV-000020,completed,EMP-0080,225651.87,2024-01-10 00:35:26.755770,2024-01-10 10:59:25.962207
PI-000074,purchase_requisition,PR-000014,completed,EMP-0016,20272.05,2024-01-03 12:44:47.771953,2024-01-03 19:22:48.051423
PI-000075,purchase_order,PO-000018,completed,EMP-0056,114600.91,2024-01-04 15:00:10.307733,2024-01-05 20:58:25.691540
PI-000076,goods_receipt,GR-000024,completed,EMP-0069,0.0,2024-01-06 19:48:48.343186,2024-01-07 03:08:45.152013
PI-000077,goods_receipt,GR-000025,completed,EMP-0068,0.0,2024-01-09 14:12:30.740293,2024-01-09 23:48:34.943069
PI-000078,invoice_verification,INV-000021,completed,EMP-0076,114546.11,2024-01-12 23:18:59.578523,2024-01-13 19:59:08.148833
PI-000079,purchase_requisition,PR-000015,completed,EMP-0007,67181.28,2024-01-03 19:23:17.884165,2024-01-04 04:31:40.392154
PI-000080,purchase_order,PO-000019,completed,EMP-0052,99432.44,2024-01-04 21:58:32.189602,2024-01-05 14:17:55.575929
PI-000081,goods_receipt,GR-000026,completed,EMP-0069,0.0,2024-01-06 17:52:39.516567,2024-01-07 04:05:42.088926
PI-000082,invoice_verification,INV-000022,completed,EMP-0080,60663.95,2024-01-12 01:06:55.358232,2024-01-13 08:36:58.239995
PI-000083,invoice_verification,INV-000023,completed,EMP-0075,40321.6,2024-01-15 02:34:59.104908,2024-01-15 16:59:18.694439
PI-000084,purchase_requisition,PR-000016,completed,EMP-0027,36249.34,2024-01-04 02:18:24.590903,2024-01-04 12:46:51.947903
PI-000085,purchase_order,PO-000020,completed,EMP-0055,35177.8,2024-01-04 20:59:03.291445,2024-01-05 01:21:07.989020
PI-000086,goods_receipt,GR-000027,completed,EMP-0065,0.0,2024-01-05 13:08:15.834917,2024-01-05 20:09:17.834168
PI-000087,goods_receipt,GR-000028,completed,EMP-0064,0.0,2024-01-07 04:01:17.166812,2024-01-07 11:24:19.136530
PI-000088,invoice_verification,INV-000024,completed,EMP-0080,35592.68,2024-01-12 10:10:34.086472,2024-01-12 16:55:23.979657
PI-000089,purchase_requisition,PR-000017,completed,EMP-0032,12554.74,2024-01-04 10:13:22.347405,2024-01-04 15:15:21.623950
PI-000090,purchase_order,PO-000021,completed,EMP-0056,286089.42,2024-01-04 19:52:36.371847,2024-01-04 21:53:16.336550
PI-000091,goods_receipt,GR-000029,completed,EMP-0067,0.0,2024-01-07 04:03:42.855232,2024-01-07 10:01:05.329299
PI-000092,invoice_verification,INV-000025,completed,EMP-0078,281528.34,2024-01-09 21:38:20.040265,2024-01-10 16:09:41.468549
PI-000093,purchase_requisition,PR-000018,completed,EMP-0015,31747.75,2024-01-04 14:28:41.807900,2024-01-05 01:23:27.203254
PI-000094,purchase_order,PO-000022,completed,EMP-0055,55554.52,2024-01-05 05:49:09.344272,2024-01-05 07:32:43.653769
PI-000095,goods_receipt,GR-000030,completed,EMP-0063,0.0,2024-01-05 20:01:13.518306,2024-01-06 05:07:29.644094
PI-000096,invoice_verification,INV-000026,completed,EMP-0082,33852.13,2024-01-07 23:34:41.570121,2024-01-08 14:55:12.367926
PI-000097,invoice_verification,INV-000027,completed,EMP-0075,21931.8,2024-01-13 00:26:27.768164,2024-01-13 08:39:09.852791
PI-000098,purchase_requisition,PR-000019,completed,EMP-0001,17848.29,2024-01-04 20:51:04.640656,2024-01-04 22:56:02.655097
PI-000099,purchase_order,PO-000023,completed,EMP-0057,210442.62,2024-01-05 15:31:04.006391,2024-01-06 00:24:40.560964
PI-000100,goods_receipt,GR-000031,completed,EMP-0065,0.0,2024-01-07 18:27:15.254341,2024-01-08 07:10:54.370710
PI-000101,invoice_verification,INV-000028,completed,EMP-0080,213569.23,2024-01-10 11:57:23.715184,2024-01-10 21:23:28.888320
PI-000102,purchase_requisition,PR-000020,completed,EMP-0006,56610.59,2024-01-05 01:16:41.983340,2024-01-05 08:14:17.580387
PI-000103,purchase_order,PO-000024,completed,EMP-0052,197545.58,2024-01-05 20:35:49.579105,2024-01-06 10:44:08.227170
PI-000104,goods_receipt,GR-000032,completed,EMP-0066,0.0,2024-01-07 20:42:29.538326,2024-01-08 04:28:51.886550
PI-000105,invoice_verification,INV-000029,completed,EMP-0077,196642.52,2024-01-12 11:09:32.337538,2024-01-13 06:03:49.405631
PI-000106,purchase_requisition,PR-000021,completed,EMP-0030,54318.98,2024-01-05 03:55:23.983340,2024-01-05 11:59:08.546917
PI-000107,purchase_order,PO-000025,completed,EMP-0060,184430.68,2024-01-06 03:22:36.282785,2024-01-06 10:42:00.492900
PI-000108,goods_receipt,GR-000033,completed,EMP-0062,0.0,2024-01-09 08:10:11.891462,2024-01-09 16:03:09.185364
PI-000109,invoice_verification,INV-000030,completed,EMP-0077,183271.41,2024-01-11 06:10:36.056528,2024-01-11 22:55:37.083415
PI-000110,purchase_requisition,PR-000022,completed,EMP-0004,13613.17,2024-01-05 06:40:38.120728,2024-01-05 12:32:27.463864
PI-000111,purchase_order,PO-000026,completed,EMP-0054,29143.23,2024-01-05 19:36:00.359902,2024-01-06 01:59:28.221477
PI-000112,goods_receipt,GR-000034,completed,EMP-0063,0.0,2024-01-07 16:46:07.778408,2024-01-08 03:29:48.533966
PI-000113,invoice_verification,INV-000031,completed,EMP-0076,29678.18,2024-01-11 14:40:21.982223,2024-01-12 01:30:50.046370
PI-000114,purchase_requisition,PR-000023,completed,EMP-0017,8900.94,2024-01-05 08:55:23.523250,2024-01-05 14:24:07.618527
PI-000115,purchase_order,PO-000027,completed,EMP-0061,203925.89,2024-01-05 18:13:27.847610,2024-01-05 23:54:26.320003
PI-000116,goods_receipt,GR-000035,completed,EMP-0065,0.0,2024-01-06 21:52:00.880260,2024-01-07 03:33:06.600340
PI-000117,goods_receipt,GR-000036,completed,EMP-0063,0.0,2024-01-08 20:10:07.900532,2024-01-09 08:45:38.759885
PI-000118,invoice_verification,INV-000032,completed,EMP-0079,206170.68,2024-01-11 07:11:44.619816,2024-01-12 03:04:16.928409
PI-000119,purchase_requisition,PR-000024,completed,EMP-0031,3897.66,2024-01-05 12:20:18.337791,2024-01-05 23:48:48.706989
PI-000120,purchase_order,PO-000028,completed,EMP-0060,17299.2,2024-01-06 03:25:13.943578,2024-01-06 10:57:33.862314
PI-000121,goods_receipt,GR-000037,completed,EMP-0062,0.0,2024-01-09 04:05:54.020756,2024-01-09 15:17:13.624587
PI-000122,invoice_verification,INV-000033,completed,EMP-0076,10227.52,2024-01-12 02:38:07.805160,2024-01-12 17:36:36.211893
PI-000123,invoice_verification,INV-000034,completed,EMP-0078,6819.5,2024-01-17 01:48:51.839807,2024-01-17 14:57:11.401338
PI-000124,purchase_requisition,PR-000025,completed,EMP-0019,5683.4,2024-01-05 18:57:56.867501,2024-01-06 03:30:43.231864
PI-000125,purchase_order,PO-000029,completed,EMP-0060,9347.62,2024-01-06 15:54:30.974807,2024-01-06 19:46:46.107059
PI-000126,goods_receipt,GR-000038,completed,EMP-0065,0.0,2024-01-07 02:30:29.780746,2024-01-07 10:25:29.801667
PI-000127,invoice_verification,INV-000035,completed,EMP-0078,9261.28,2024-01-12 04:17:26.324012,2024-01-12 17:49:50.902049
PI-000128,purchase_requisition,PR-000026,completed,EMP-0035,37524.22,2024-01-05 22:55:40.899362,2024-01-06 10:28:22.306526
PI-000129,purchase_order,PO-000030,completed,EMP-0060,23077.12,2024-01-06 22:42:48.282615,2024-01-07 02:48:00.903918
PI-000130,goods_receipt,GR-000039,completed,EMP-0066,0.0,2024-01-07 22:59:02.722665,2024-01-08 07:26:23.107989
PI-000131,invoice_verification,INV-000036,completed,EMP-0080,23498.6,2024-01-12 16:09:27.502834,2024-01-13 17:04:56.199621
PI-000132,purchase_requisition,PR-000027,completed,EMP-0001,87903.5,2024-01-06 01:01:04.981347,2024-01-06 04:54:56.266984
PI-000133,purchase_order,PO-000031,completed,EMP-0056,151413.55,2024-01-06 14:34:26.855614,2024-01-07 00:03:33.055367
PI-000134,goods_receipt,GR-000040,completed,EMP-0063,0.0,2024-01-08 15:30:25.685138,2024-01-08 23:00:47.752537
PI-000135,invoice_verification,INV-000037,completed,EMP-0079,151675.14,2024-01-10 00:04:45.473779,2024-01-10 13:23:44.780991
PI-000136,purchase_requisition,PR-000028,completed,EMP-0001,94035.49,2024-01-06 07:32:31.404608,2024-01-06 15:04:59.639539
PI-000137,purchase_order,PO-000032,completed,EMP-0060,113911.66,2024-01-07 11:07:11.815140,2024-01-07 18:47:44.542027
PI-000138,goods_receipt,GR-000041,completed,EMP-0062,0.0,2024-01-08 03:32:01.128935,2024-01-08 11:03:50.559172
PI-000139,invoice_verification,INV-000038,completed,EMP-0075,115690.64,2024-01-12 14:25:08.832365,2024-01-13 02:06:26.604865
PI-000140,purchase_order,PO-000033,completed,EMP-0056,167247.94,2024-01-07 00:23:49.975673,2024-01-07 08:55:55.868487
PI-000141,goods_receipt,GR-000042,completed,EMP-0066,0.0,2024-01-09 03:40:59.106490,2024-01-09 08:42:59.833327
PI-000142,goods_receipt,GR-000043,completed,EMP-0062,0.0,2024-01-11 23:36:06.034886,2024-01-12 08:44:03.588760
PI-000143,invoice_verification,INV-000039,completed,EMP-0082,169163.72,2024-01-13 05:54:13.567275,2024-01-13 17:10:18.844632
PI-000144,purchase_requisition,PR-000029,completed,EMP-0015,54838.12,2024-01-06 08:51:22.318891,2024-01-06 16:04:08.243481
PI-000145,purchase_order,PO-000034,completed,EMP-0061,146789.6,2024-01-06 18:54:34.717503,2024-01-06 21:36:15.231486
PI-000146,goods_receipt,GR-000044,completed,EMP-0066,0.0,2024-01-08 00:28:50.521064,2024-01-08 10:52:06.447578
PI-000147,invoice_verification,INV-000040,completed,EMP-0080,144750.69,2024-01-13 07:27:02.771063,2024-01-13 21:14:51.720737
PI-000148,purchase_requisition,PR-000030,completed,EMP-0040,72117.8,2024-01-06 16:45:28.399837,2024-01-06 23:32:51.237093
PI-000149,purchase_order,PO-000035,completed,EMP-0055,11881.11,2024-01-07 10:47:05.012961,2024-01-07 13:55:35.610156
PI-000150,goods_receipt,GR-000045,completed,EMP-0064,0.0,2024-01-10 08:15:31.880790,2024-01-10 17:16:32.821056
PI-000151,goods_receipt,GR-000046,completed,EMP-0063,0.0,2024-01-12 20:42:41.951939,2024-01-13 02:54:29.674324
PI-000152,invoice_verification,INV-000041,completed,EMP-0077,11855.57,2024-01-16 07:34:36.384343,2024-01-16 20:28:06.813586
PI-000153,purchase_requisition,PR-000031,completed,EMP-0036,70724.29,2024-01-06 21:45:49.921064,2024-01-07 04:29:08.000229
PI-000154,purchase_order,PO-000036,completed,EMP-0054,277396.01,2024-01-07 22:07:17.029571,2024-01-08 07:43:35.850191
PI-000155,goods_receipt,GR-000047,completed,EMP-0067,0.0,2024-01-08 11:45:53.430407,2024-01-09 00:36:31.292687
PI-000156,invoice_verification,INV-000042,completed,EMP-0080,278008.25,2024-01-09 06:46:48.109248,2024-01-09 19:18:10.092380
PI-000157,purchase_requisition,PR-000032,completed,EMP-0002,90007.33,2024-01-07 01:52:13.028207,2024-01-07 07:01:44.949715
PI-000158,purchase_order,PO-000037,completed,EMP-0056,42133.92,2024-01-08 01:41:22.738155,2024-01-08 03:56:01.994968
PI-000159,goods_receipt,GR-000048,completed,EMP-0063,0.0,2024-01-08 09:27:56.909638,2024-01-08 18:47:50.037539
PI-000160,invoice_verification,INV-000043,completed,EMP-0082,42841.25,2024-01-11 05:07:02.055626,2024-01-11 17:52:26.639590
PI-000161,purchase_requisition,PR-000033,completed,EMP-0005,35362.13,2024-01-07 06:14:48.869540,2024-01-07 16:47:29.852200
PI-000162,purchase_order,PO-000038,completed,EMP-0058,284339.98,2024-01-08 09:15:40.537475,2024-01-08 16:11:06.182771
PI-000163,goods_receipt,GR-000049,completed,EMP-0064,0.0,2024-01-11 04:58:56.779826,2024-01-11 11:22:34.375149
PI-000164,invoice_verification,INV-000044,completed,EMP-0080,286966.3,2024-01-15 01:58:59.862717,2024-01-15 11:39:11.706802
PI-000165,purchase_requisition,PR-000034,completed,EMP-0004,48820.4,2024-01-07 08:25:49.666412,2024-01-07 23:53:47.618412
PI-000166,purchase_order,PO-000039,completed,EMP-0056,294295.05,2024-01-08 15:43:12.395603,2024-01-09 01:05:27.317769
PI-000167,goods_receipt,GR-000050,completed,EMP-0062,0.0,2024-01-11 05:51:30.483089,2024-01-11 12:16:40.330618
PI-000168,goods_receipt,GR-000051,completed,EMP-0067,0.0,2024-01-12 09:37:28.988282,2024-01-12 16:01:14.855197
PI-000169,invoice_verification,INV-000045,completed,EMP-0079,290979.95,2024-01-15 22:38:52.873723,2024-01-16 06:35:31.200230
PI-000170,purchase_requisition,PR-000035,completed,EMP-0024,7282.55,2024-01-07 13:57:35.941532,2024-01-07 21:42:00.943973
PI-000171,purchase_order,PO-000040,completed,EMP-0052,198851.77,2024-01-08 09:16:26.125162,2024-01-08 17:33:48.546302
PI-000172,goods_receipt,GR-000052,completed,EMP-0063,0.0,2024-01-08 22:45:16.355822,2024-01-09 04:34:26.285310
PI-000173,invoice_verification,INV-000046,completed,EMP-0081,195583.77,2024-01-12 12:10:39.503989,2024-01-13 05:29:38.686739
PI-000174,purchase_requisition,PR-000036,completed,EMP-0008,5692.91,2024-01-07 17:14:23.202497,2024-01-07 23:33:27.677105
PI-000175,purchase_order,PO-000041,completed,EMP-0058,136464.92,2024-01-08 13:02:50.804069,2024-01-09 00:50:51.648506
PI-000176,goods_receipt,GR-000053,completed,EMP-0063,0.0,2024-01-10 12:23:47.521989,2024-01-10 16:29:26.604459
PI-000177,invoice_verification,INV-000047,completed,EMP-0077,136267.1,2024-01-11 12:34:15.951227,2024-01-12 07:44:55.388529
PI-000178,purchase_requisition,PR-000037,completed,EMP-0038,33055.07,2024-01-08 00:48:49.730395,2024-01-08 18:34:59.973094
PI-000179,purchase_order,PO-000042,completed,EMP-0054,167927.67,2024-01-09 17:33:15.665269,2024-01-10 05:48:36.718006
PI-000180,goods_receipt,GR-000054,completed,EMP-0067,0.0,2024-01-12 13:36:23.295797,2024-01-12 20:42:42.918717
PI-000181,goods_receipt,GR-000055,completed,EMP-0065,0.0,2024-01-13 21:33:27.269075,2024-01-14 05:03:28.593105
PI-000182,invoice_verification,INV-000048,completed,EMP-0076,100131.59,2024-01-15 20:47:45.032995,2024-01-16 07:16:57.003944
PI-000183,invoice_verification,INV-000049,completed,EMP-0082,65899.76,2024-01-16 11:33:58.735406,2024-01-16 20:52:11.794218
PI-000184,purchase_requisition,PR-000038,completed,EMP-0023,18562.35,2024-01-08 04:45:01.483325,2024-01-08 19:06:40.787887
PI-000185,purchase_order,PO-000043,completed,EMP-0061,51434.73,2024-01-09 14:48:42.262184,2024-01-09 19:37:15.036993
PI-000186,goods_receipt,GR-000056,completed,EMP-0062,0.0,2024-01-10 15:19:54.179741,2024-01-11 01:55:22.520331
PI-000187,goods_receipt,GR-000057,completed,EMP-0069,0.0,2024-01-11 18:54:14.397705,2024-01-12 03:14:00.849394
PI-000188,invoice_verification,INV-000050,completed,EMP-0079,30648.66,2024-01-12 20:39:26.610062,2024-01-13 04:50:41.800801
PI-000189,invoice_verification,INV-000051,completed,EMP-0081,20749.59,2024-01-16 04:20:51.018182,2024-01-16 11:11:58.344153
PI-000190,purchase_requisition,PR-000039,completed,EMP-0032,9230.15,2024-01-08 10:41:34.175260,2024-01-08 19:57:11.681336
PI-000191,purchase_order,PO-000044,completed,EMP-0056,84944.91,2024-01-09 17:50:50.592319,2024-01-10 01:04:41.501341
PI-000192,goods_receipt,GR-000058,completed,EMP-0067,0.0,2024-01-11 02:50:45.436397,2024-01-11 11:51:11.563677
PI-000193,invoice_verification,INV-000052,completed,EMP-0076,85050.46,2024-01-13 17:23:50.983461,2024-01-14 05:15:39.254884
PI-000194,purchase_requisition,PR-000040,completed,EMP-0021,8745.88,2024-01-08 14:44:25.972622,2024-01-08 19:16:47.200659
PI-000195,purchase_order,PO-000045,completed,EMP-0054,65339.49,2024-01-09 16:35:39.057850,2024-01-10 01:25:20.643444
PI-000196,goods_receipt,GR-000059,completed,EMP-0062,0.0,2024-01-11 10:11:08.447452,2024-01-11 21:53:06.544233
PI-000197,invoice_verification,INV-000053,completed,EMP-0076,64841.0,2024-01-16 17:04:09.300519,2024-01-17 04:58:14.492241
PI-000198,purchase_requisition,PR-000041,completed,EMP-0012,72617.44,2024-01-08 21:04:27.753842,2024-01-09 04:19:20.471241
PI-000199,purchase_order,PO-000046,completed,EMP-0061,35176.19,2024-01-09 06:54:55.054460,2024-01-09 08:31:03.720896
PI-000200,goods_receipt,GR-000060,completed,EMP-0066,0.0,2024-01-11 04:31:24.583093,2024-01-11 09:42:24.029572
PI-000201,invoice_verification,INV-000054,completed,EMP-0079,35476.36,2024-01-14 23:53:14.071969,2024-01-15 11:55:01.586777
PI-000202,purchase_requisition,PR-000042,completed,EMP-0028,11443.31,2024-01-09 01:41:35.465522,2024-01-09 10:01:05.637169
PI-000203,purchase_order,PO-000047,completed,EMP-0055,190734.36,2024-01-09 14:45:41.761641,2024-01-10 00:09:15.489890
PI-000204,goods_receipt,GR-000061,completed,EMP-0062,0.0,2024-01-12 10:15:48.096546,2024-01-12 19:38:34.359683
PI-000205,invoice_verification,INV-000055,completed,EMP-0080,192145.5,2024-01-13 14:52:19.672437,2024-01-14 02:44:36.731932
PI-000206,purchase_requisition,PR-000043,completed,EMP-0037,11316.74,2024-01-09 05:41:14.307052,2024-01-09 14:05:43.200724
PI-000207,purchase_order,PO-000048,completed,EMP-0061,15653.4,2024-01-10 01:48:27.542057,2024-01-10 08:09:01.327228
PI-000208,goods_receipt,GR-000062,completed,EMP-0065,0.0,2024-01-12 21:05:47.934106,2024-01-13 03:16:54.539507
PI-000209,invoice_verification,INV-000056,completed,EMP-0082,9441.03,2024-01-16 18:00:02.098893,2024-01-17 06:51:41.799095
PI-000210,invoice_verification,INV-000057,completed,EMP-0081,6357.33,2024-01-20 22:43:44.512514,2024-01-21 09:02:12.879809
PI-000211,purchase_requisition,PR-000044,completed,EMP-0036,26740.68,2024-01-09 12:04:22.529371,2024-01-09 19:42:35.385708
PI-000212,purchase_order,PO-000049,completed,EMP-0060,77916.21,2024-01-10 11:50:13.984274,2024-01-10 21:53:56.595058
