instance_id,name,value
PI-000040,poNo,PO-000010
PI-000040,grNo,GR-000014
PI-000040,materialCode,MAT-00049
PI-000041,poNo,PO-000010
PI-000041,invoiceNo,INV-000010
PI-000041,amount,16869.58
PI-000042,prNo,PR-000008
PI-000042,materialCode,MAT-00012
PI-000042,amount,110619.22
PI-000043,prNo,PR-000008
PI-000043,poNo,PO-000011
PI-000043,amount,116945.8
PI-000043,supplierCode,SUP-009
PI-000044,poNo,PO-000011
PI-000044,grNo,GR-000015
PI-000044,materialCode,MAT-00012
PI-000045,poNo,PO-000011
PI-000045,grNo,GR-000016
PI-000045,materialCode,MAT-00012
PI-000046,poNo,PO-000011
PI-000046,invoiceNo,INV-000011
PI-000046,amount,115091.81
PI-000047,prNo,PR-000009
PI-000047,materialCode,MAT-00022
PI-000047,amount,19537.85
PI-000048,prNo,PR-000009
PI-000048,poNo,PO-000012
PI-000048,amount,86521.06
PI-000048,supplierCode,SUP-011
PI-000049,poNo,PO-000012
PI-000049,grNo,GR-000017
PI-000049,materialCode,MAT-00002
PI-000050,poNo,PO-000012
PI-000050,invoiceNo,INV-000012
PI-000050,amount,52710.53
PI-000051,poNo,PO-000012
PI-000051,invoiceNo,INV-000013
PI-000051,amount,34803.6
PI-000052,prNo,PR-000009
PI-000052,poNo,PO-000013
PI-000052,amount,15333.18
PI-000052,supplierCode,SUP-009
PI-000053,poNo,PO-000013
PI-000053,grNo,GR-000018
PI-000053,materialCode,MAT-00022
PI-000054,poNo,PO-000013
PI-000054,invoiceNo,INV-000014
PI-000054,amount,9201.47
PI-000055,poNo,PO-000013
PI-000055,invoiceNo,INV-000015
PI-000055,amount,6231.1
PI-000056,prNo,PR-000010
PI-000056,materialCode,MAT-00044
PI-000056,amount,137960.55
PI-000057,prNo,PR-000010
PI-000057,poNo,PO-000014
PI-000057,amount,149712.41
PI-000057,supplierCode,SUP-005
PI-000058,poNo,PO-000014
PI-000058,grNo,GR-000019
PI-000058,materialCode,MAT-00044
PI-000059,poNo,PO-000014
PI-000059,grNo,GR-000020
PI-000059,materialCode,MAT-00045
PI-000060,poNo,PO-000014
PI-000060,invoiceNo,INV-000016
PI-000060,amount,150206.23
PI-000061,prNo,PR-000011
PI-000061,materialCode,MAT-00029
PI-000061,amount,16518.91
PI-000062,prNo,PR-000011
PI-000062,poNo,PO-000015
PI-000062,amount,286995.36
PI-000062,supplierCode,SUP-003
PI-000063,poNo,PO-000015
PI-000063,grNo,GR-000021
PI-000063,materialCode,MAT-00059
PI-000064,poNo,PO-000015
PI-000064,invoiceNo,INV-000017
PI-000064,amount,282968.44
PI-000065,prNo,PR-000012
PI-000065,materialCode,MAT-00024
PI-000065,amount,93534.32
PI-000066,prNo,PR-000012
PI-000066,poNo,PO-000016
PI-000066,amount,180869.76
PI-000066,supplierCode,SUP-003
PI-000067,poNo,PO-000016
PI-000067,grNo,GR-000022
PI-000067,materialCode,MAT-00024
PI-000068,poNo,PO-000016
PI-000068,invoiceNo,INV-000018
PI-000068,amount,106392.44
PI-000069,poNo,PO-000016
PI-000069,invoiceNo,INV-000019
PI-000069,amount,72624.59
PI-000070,prNo,PR-000013
PI-000070,materialCode,MAT-00039
PI-000070,amount,97306.78
PI-000071,prNo,PR-000013
PI-000071,poNo,PO-000017
PI-000071,amount,225082.68
PI-000071,supplierCode,SUP-001
PI-000072,poNo,PO-000017
PI-000072,grNo,GR-000023
PI-000072,materialCode,MAT-00025
PI-000073,poNo,PO-000017
PI-000073,invoiceNo,INV-000020
PI-000073,amount,225651.87
PI-000074,prNo,PR-000014
PI-000074,materialCode,MAT-00034
PI-000074,amount,20272.05
PI-000075,prNo,PR-000014
PI-000075,poNo,PO-000018
PI-000075,amount,114600.91
PI-000075,supplierCode,SUP-011
PI-000076,poNo,PO-000018
PI-000076,grNo,GR-000024
PI-000076,materialCode,MAT-00026
PI-000077,poNo,PO-000018
PI-000077,grNo,GR-000025
PI-000077,materialCode,MAT-00026
PI-000078,poNo,PO-000018
PI-000078,invoiceNo,INV-000021
PI-000078,amount,114546.11
PI-000079,prNo,PR-000015
PI-000079,materialCode,MAT-00021
PI-000079,amount,67181.28
PI-000080,prNo,PR-000015
PI-000080,poNo,PO-000019
PI-000080,amount,99432.44
PI-000080,supplierCode,SUP-003
PI-000081,poNo,PO-000019
PI-000081,grNo,GR-000026
PI-000081,materialCode,MAT-00021
PI-000082,poNo,PO-000019
PI-000082,invoiceNo,INV-000022
PI-000082,amount,60663.95
PI-000083,poNo,PO-000019
PI-000083,invoiceNo,INV-000023
PI-000083,amount,40321.6
PI-000084,prNo,PR-000016
PI-000084,materialCode,MAT-00045
PI-000084,amount,36249.34
PI-000085,prNo,PR-000016
PI-000085,poNo,PO-000020
PI-000085,amount,35177.8
PI-000085,supplierCode,SUP-005
PI-000086,poNo,PO-000020
PI-000086,grNo,GR-000027
PI-000086,materialCode,MAT-00045
PI-000087,poNo,PO-000020
PI-000087,grNo,GR-000028
PI-000087,materialCode,MAT-00045
PI-000088,poNo,PO-000020
PI-000088,invoiceNo,INV-000024
PI-000088,amount,35592.68
PI-000089,prNo,PR-000017
PI-000089,materialCode,MAT-00035
PI-000089,amount,12554.74
PI-000090,prNo,PR-000017
PI-000090,poNo,PO-000021
PI-000090,amount,286089.42
PI-000090,supplierCode,SUP-007
PI-000091,poNo,PO-000021
PI-000091,grNo,GR-000029
PI-000091,materialCode,MAT-00015
PI-000092,poNo,PO-000021
PI-000092,invoiceNo,INV-000025
PI-000092,amount,281528.34
PI-000093,prNo,PR-000018
PI-000093,materialCode,MAT-00054
PI-000093,amount,31747.75
PI-000094,prNo,PR-000018
PI-000094,poNo,PO-000022
PI-000094,amount,55554.52
PI-000094,supplierCode,SUP-011
PI-000095,poNo,PO-000022
PI-000095,grNo,GR-000030
PI-000095,materialCode,MAT-00029
PI-000096,poNo,PO-000022
PI-000096,invoiceNo,INV-000026
PI-000096,amount,33852.13
PI-000097,poNo,PO-000022
PI-000097,invoiceNo,INV-000027
PI-000097,amount,21931.8
PI-000098,prNo,PR-000019
PI-000098,materialCode,MAT-00031
PI-000098,amount,17848.29
PI-000099,prNo,PR-000019
PI-000099,poNo,PO-000023
PI-000099,amount,210442.62
PI-000099,supplierCode,SUP-011
PI-000100,poNo,PO-000023
PI-000100,grNo,GR-000031
PI-000100,materialCode,MAT-00054
PI-000101,poNo,PO-000023
PI-000101,invoiceNo,INV-000028
PI-000101,amount,213569.23
PI-000102,prNo,PR-000020
PI-000102,materialCode,MAT-00009
PI-000102,amount,56610.59
PI-000103,prNo,PR-000020
PI-000103,poNo,PO-000024
PI-000103,amount,197545.58
PI-000103,supplierCode,SUP-006
PI-000104,poNo,PO-000024
PI-000104,grNo,GR-000032
PI-000104,materialCode,MAT-00015
PI-000105,poNo,PO-000024
PI-000105,invoiceNo,INV-000029
PI-000105,amount,196642.52
PI-000106,prNo,PR-000021
PI-000106,materialCode,MAT-00029
PI-000106,amount,54318.98
PI-000107,prNo,PR-000021
PI-000107,poNo,PO-000025
PI-000107,amount,184430.68
PI-000107,supplierCode,SUP-012
PI-000108,poNo,PO-000025
PI-000108,grNo,GR-000033
PI-000108,materialCode,MAT-00001
PI-000109,poNo,PO-000025
PI-000109,invoiceNo,INV-000030
PI-000109,amount,183271.41
PI-000110,prNo,PR-000022
PI-000110,materialCode,MAT-00045
PI-000110,amount,13613.17
PI-000111,prNo,PR-000022
PI-000111,poNo,PO-000026
PI-000111,amount,29143.23
PI-000111,supplierCode,SUP-002
PI-000112,poNo,PO-000026
PI-000112,grNo,GR-000034
PI-000112,materialCode,MAT-00008
PI-000113,poNo,PO-000026
PI-000113,invoiceNo,INV-000031
PI-000113,amount,29678.18
PI-000114,prNo,PR-000023
PI-000114,materialCode,MAT-00036
PI-000114,amount,8900.94
PI-000115,prNo,PR-000023
PI-000115,poNo,PO-000027
PI-000115,amount,203925.89
PI-000115,supplierCode,SUP-007
PI-000116,poNo,PO-000027
PI-000116,grNo,GR-000035
PI-000116,materialCode,MAT-00001
PI-000117,poNo,PO-000027
PI-000117,grNo,GR-000036
PI-000117,materialCode,MAT-00044
PI-000118,poNo,PO-000027
PI-000118,invoiceNo,INV-000032
PI-000118,amount,206170.68
PI-000119,prNo,PR-000024
PI-000119,materialCode,MAT-00057
PI-000119,amount,3897.66
PI-000120,prNo,PR-000024
PI-000120,poNo,PO-000028
PI-000120,amount,17299.2
PI-000120,supplierCode,SUP-010
PI-000121,poNo,PO-000028
PI-000121,grNo,GR-000037
PI-000121,materialCode,MAT-00057
PI-000122,poNo,PO-000028
PI-000122,invoiceNo,INV-000033
PI-000122,amount,10227.52
PI-000123,poNo,PO-000028
PI-000123,invoiceNo,INV-000034
PI-000123,amount,6819.5
PI-000124,prNo,PR-000025
PI-000124,materialCode,MAT-00013
PI-000124,amount,5683.4
PI-000125,prNo,PR-000025
PI-000125,poNo,PO-000029
PI-000125,amount,9347.62
PI-000125,supplierCode,SUP-007
PI-000126,poNo,PO-000029
PI-000126,grNo,GR-000038
PI-000126,materialCode,MAT-00013
PI-000127,poNo,PO-000029
PI-000127,invoiceNo,INV-000035
PI-000127,amount,9261.28
PI-000128,prNo,PR-000026
PI-000128,materialCode,MAT-00003
PI-000128,amount,37524.22
PI-000129,prNo,PR-000026
PI-000129,poNo,PO-000030
PI-000129,amount,23077.12
PI-000129,supplierCode,SUP-004
PI-000130,poNo,PO-000030
PI-000130,grNo,GR-000039
PI-000130,materialCode,MAT-00052
PI-000131,poNo,PO-000030
PI-000131,invoiceNo,INV-000036
PI-000131,amount,23498.6
PI-000132,prNo,PR-000027
PI-000132,materialCode,MAT-00001
PI-000132,amount,87903.5
PI-000133,prNo,PR-000027
PI-000133,poNo,PO-000031
PI-000133,amount,151413.55
PI-000133,supplierCode,SUP-009
PI-000134,poNo,PO-000031
PI-000134,grNo,GR-000040
PI-000134,materialCode,MAT-00001
PI-000135,poNo,PO-000031
PI-000135,invoiceNo,INV-000037
PI-000135,amount,151675.14
PI-000136,prNo,PR-000028
PI-000136,materialCode,MAT-00003
PI-000136,amount,94035.49
PI-000137,prNo,PR-000028
PI-000137,poNo,PO-000032
PI-000137,amount,113911.66
PI-000137,supplierCode,SUP-012
PI-000138,poNo,PO-000032
PI-000138,grNo,GR-000041
PI-000138,materialCode,MAT-00012
PI-000139,poNo,PO-000032
PI-000139,invoiceNo,INV-000038
PI-000139,amount,115690.64
PI-000140,prNo,PR-000028
PI-000140,poNo,PO-000033
PI-000140,amount,167247.94
PI-000140,supplierCode,SUP-006
PI-000141,poNo,PO-000033
PI-000141,grNo,GR-000042
PI-000141,materialCode,MAT-00028
PI-000142,poNo,PO-000033
PI-000142,grNo,GR-000043
PI-000142,materialCode,MAT-00028
PI-000143,poNo,PO-000033
PI-000143,invoiceNo,INV-000039
PI-000143,amount,169163.72
PI-000144,prNo,PR-000029
PI-000144,materialCode,MAT-00013
PI-000144,amount,54838.12
PI-000145,prNo,PR-000029
PI-000145,poNo,PO-000034
PI-000145,amount,146789.6
PI-000145,supplierCode,SUP-011
PI-000146,poNo,PO-000034
PI-000146,grNo,GR-000044
PI-000146,materialCode,MAT-00056
PI-000147,poNo,PO-000034
PI-000147,invoiceNo,INV-000040
PI-000147,amount,144750.69
PI-000148,prNo,PR-000030
PI-000148,materialCode,MAT-00018
PI-000148,amount,72117.8
PI-000149,prNo,PR-000030
PI-000149,poNo,PO-000035
PI-000149,amount,11881.11
PI-000149,supplierCode,SUP-012
PI-000150,poNo,PO-000035
PI-000150,grNo,GR-000045
PI-000150,materialCode,MAT-00018
PI-000151,poNo,PO-000035
PI-000151,grNo,GR-000046
PI-000151,materialCode,MAT-00018
PI-000152,poNo,PO-000035
PI-000152,invoiceNo,INV-000041
PI-000152,amount,11855.57
PI-000153,prNo,PR-000031
PI-000153,materialCode,MAT-00012
PI-000153,amount,70724.29
PI-000154,prNo,PR-000031
PI-000154,poNo,PO-000036
PI-000154,amount,277396.01
PI-000154,supplierCode,SUP-005
PI-000155,poNo,PO-000036
PI-000155,grNo,GR-000047
PI-000155,materialCode,MAT-00012
PI-000156,poNo,PO-000036
PI-000156,invoiceNo,INV-000042
PI-000156,amount,278008.25
PI-000157,prNo,PR-000032
PI-000157,materialCode,MAT-00052
PI-000157,amount,90007.33
PI-000158,prNo,PR-000032
PI-000158,poNo,PO-000037
PI-000158,amount,42133.92
PI-000158,supplierCode,SUP-011
PI-000159,poNo,PO-000037
PI-000159,grNo,GR-000048
PI-000159,materialCode,MAT-00052
PI-000160,poNo,PO-000037
PI-000160,invoiceNo,INV-000043
PI-000160,amount,42841.25
PI-000161,prNo,PR-000033
PI-000161,materialCode,MAT-00022
PI-000161,amount,35362.13
PI-000162,prNo,PR-000033
PI-000162,poNo,PO-000038
PI-000162,amount,284339.98
PI-000162,supplierCode,SUP-003
PI-000163,poNo,PO-000038
PI-000163,grNo,GR-000049
PI-000163,materialCode,MAT-00020
PI-000164,poNo,PO-000038
PI-000164,invoiceNo,INV-000044
PI-000164,amount,286966.3
PI-000165,prNo,PR-000034
PI-000165,materialCode,MAT-00043
PI-000165,amount,48820.4
PI-000166,prNo,PR-000034
PI-000166,poNo,PO-000039
PI-000166,amount,294295.05
PI-000166,supplierCode,SUP-005
PI-000167,poNo,PO-000039
PI-000167,grNo,GR-000050
PI-000167,materialCode,MAT-00055
PI-000168,poNo,PO-000039
PI-000168,grNo,GR-000051
PI-000168,materialCode,MAT-00055
PI-000169,poNo,PO-000039
PI-000169,invoiceNo,INV-000045
PI-000169,amount,290979.95
PI-000170,prNo,PR-000035
PI-000170,materialCode,MAT-00035
PI-000170,amount,7282.55
PI-000171,prNo,PR-000035
PI-000171,poNo,PO-000040
PI-000171,amount,198851.77
PI-000171,supplierCode,SUP-004
PI-000172,poNo,PO-000040
PI-000172,grNo,GR-000052
PI-000172,materialCode,MAT-00035
PI-000173,poNo,PO-000040
PI-000173,invoiceNo,INV-000046
PI-000173,amount,195583.77
PI-000174,prNo,PR-000036
PI-000174,materialCode,MAT-00021
PI-000174,amount,5692.91
PI-000175,prNo,PR-000036
PI-000175,poNo,PO-000041
PI-000175,amount,136464.92
PI-000175,supplierCode,SUP-005
PI-000176,poNo,PO-000041
PI-000176,grNo,GR-000053
PI-000176,materialCode,MAT-00058
PI-000177,poNo,PO-000041
PI-000177,invoiceNo,INV-000047
PI-000177,amount,136267.1
PI-000178,prNo,PR-000037
PI-000178,materialCode,MAT-00056
PI-000178,amount,33055.07
PI-000179,prNo,PR-000037
PI-000179,poNo,PO-000042
PI-000179,amount,167927.67
PI-000179,supplierCode,SUP-003
PI-000180,poNo,PO-000042
PI-000180,grNo,GR-000054
PI-000180,materialCode,MAT-00019
PI-000181,poNo,PO-000042
PI-000181,grNo,GR-000055
PI-000181,materialCode,MAT-00019
PI-000182,poNo,PO-000042
PI-000182,invoiceNo,INV-000048
PI-000182,amount,100131.59
PI-000183,poNo,PO-000042
PI-000183,invoiceNo,INV-000049
PI-000183,amount,65899.76
PI-000184,prNo,PR-000038
PI-000184,materialCode,MAT-00004
PI-000184,amount,18562.35
PI-000185,prNo,PR-000038
PI-000185,poNo,PO-000043
PI-000185,amount,51434.73
PI-000185,supplierCode,SUP-002
PI-000186,poNo,PO-000043
PI-000186,grNo,GR-000056
PI-000186,materialCode,MAT-00020
PI-000187,poNo,PO-000043
PI-000187,grNo,GR-000057
PI-000187,materialCode,MAT-00004
PI-000188,poNo,PO-000043
PI-000188,invoiceNo,INV-000050
PI-000188,amount,30648.66
PI-000189,poNo,PO-000043
PI-000189,invoiceNo,INV-000051
PI-000189,amount,20749.59
PI-000190,prNo,PR-000039
PI-000190,materialCode,MAT-00028
PI-000190,amount,9230.15
PI-000191,prNo,PR-000039
PI-000191,poNo,PO-000044
PI-000191,amount,84944.91
PI-000191,supplierCode,SUP-006
PI-000192,poNo,PO-000044
PI-000192,grNo,GR-000058
PI-000192,materialCode,MAT-00043
PI-000193,poNo,PO-000044
PI-000193,invoiceNo,INV-000052
PI-000193,amount,85050.46
PI-000194,prNo,PR-000040
PI-000194,materialCode,MAT-00056
PI-000194,amount,8745.88
PI-000195,prNo,PR-000040
PI-000195,poNo,PO-000045
PI-000195,amount,65339.49
PI-000195,supplierCode,SUP-001
PI-000196,poNo,PO-000045
PI-000196,grNo,GR-000059
PI-000196,materialCode,MAT-00058
PI-000197,poNo,PO-000045
PI-000197,invoiceNo,INV-000053
PI-000197,amount,64841.0
PI-000198,prNo,PR-000041
PI-000198,materialCode,MAT-00041
PI-000198,amount,72617.44
PI-000199,prNo,PR-000041
PI-000199,poNo,PO-000046
PI-000199,amount,35176.19
PI-000199,supplierCode,SUP-012
PI-000200,poNo,PO-000046
PI-000200,grNo,GR-000060
PI-000200,materialCode,MAT-00028
PI-000201,poNo,PO-000046
PI-000201,invoiceNo,INV-000054
PI-000201,amount,35476.36
PI-000202,prNo,PR-000042
PI-000202,materialCode,MAT-00058
PI-000202,amount,11443.31
PI-000203,prNo,PR-000042
PI-000203,poNo,PO-000047
PI-000203,amount,190734.36
PI-000203,supplierCode,SUP-005
PI-000204,poNo,PO-000047
PI-000204,grNo,GR-000061
PI-000204,materialCode,MAT-00058
PI-000205,poNo,PO-000047
PI-000205,invoiceNo,INV-000055
PI-000205,amount,192145.5
PI-000206,prNo,PR-000043
PI-000206,materialCode,MAT-00004
PI-000206,amount,11316.74
PI-000207,prNo,PR-000043
PI-000207,poNo,PO-000048
PI-000207,amount,15653.4
PI-000207,supplierCode,SUP-010
PI-000208,poNo,PO-000048
PI-000208,grNo,GR-000062
PI-000208,materialCode,MAT-00008
PI-000209,poNo,PO-000048
PI-000209,invoiceNo,INV-000056
PI-000209,amount,9441.03
PI-000210,poNo,PO-000048
PI-000210,invoiceNo,INV-000057
PI-000210,amount,6357.33
PI-000211,prNo,PR-000044
PI-000211,materialCode,MAT-00018
PI-000211,amount,26740.68
PI-000212,prNo,PR-000044
PI-000212,poNo,PO-000049
PI-000212,amount,77916.21
PI-000212,supplierCode,SUP-008
PI-000213,poNo,PO-000049
PI-000213,grNo,GR-000063
PI-000213,materialCode,MAT-00006
PI-000214,poNo,PO-000049
PI-000214,grNo,GR-000064
PI-000214,materialCode,MAT-00049
PI-000215,poNo,PO-000049
PI-000215,invoiceNo,INV-000058
PI-000215,amount,45926.83
PI-000216,poNo,PO-000049
PI-000216,invoiceNo,INV-000059
PI-000216,amount,31003.54
PI-000217,prNo,PR-000045
PI-000217,materialCode,MAT-00060
PI-000217,amount,56363.71
PI-000218,prNo,PR-000045
PI-000218,poNo,PO-000050
PI-000218,amount,89248.89
PI-000218,supplierCode,SUP-012
PI-000219,poNo,PO-000050
PI-000219,grNo,GR-000065
PI-000219,materialCode,MAT-00060
PI-000220,poNo,PO-000050
PI-000220,invoiceNo,INV-000060
PI-000220,amount,88596.95
PI-000221,prNo,PR-000046
PI-000221,materialCode,MAT-00029
PI-000221,amount,228.59
PI-000222,prNo,PR-000046
PI-000222,poNo,PO-000051
PI-000222,amount,149776.65
PI-000222,supplierCode,SUP-011
PI-000223,poNo,PO-000051
PI-000223,grNo,GR-000066
PI-000223,materialCode,MAT-00021
PI-000224,poNo,PO-000051
PI-000224,invoiceNo,INV-000061
PI-000224,amount,147942.01
PI-000225,prNo,PR-000047
PI-000225,materialCode,MAT-00005
PI-000225,amount,11108.09
PI-000226,prNo,PR-000047
PI-000226,poNo,PO-000052
PI-000226,amount,181835.8
PI-000226,supplierCode,SUP-001
PI-000227,poNo,PO-000052
PI-000227,grNo,GR-000067
PI-000227,materialCode,MAT-00056
PI-000228,poNo,PO-000052
PI-000228,invoiceNo,INV-000062
PI-000228,amount,180316.12
PI-000229,prNo,PR-000047
PI-000229,poNo,PO-000053
PI-000229,amount,28233.57
PI-000229,supplierCode,SUP-006
PI-000230,poNo,PO-000053
PI-000230,grNo,GR-000068
PI-000230,materialCode,MAT-00005
PI-000231,poNo,PO-000053
PI-000231,grNo,GR-000069
PI-000231,materialCode,MAT-00008
PI-000232,poNo,PO-000053
PI-000232,invoiceNo,INV-000063
PI-000232,amount,16750.09
PI-000233,poNo,PO-000053
PI-000233,invoiceNo,INV-000064
PI-000233,amount,11435.98
PI-000234,prNo,PR-000048
PI-000234,materialCode,MAT-00013
PI-000234,amount,12778.03
PI-000235,prNo,PR-000048
PI-000235,poNo,PO-000054
PI-000235,amount,71666.0
PI-000235,supplierCode,SUP-008
PI-000236,poNo,PO-000054
PI-000236,grNo,GR-000070
PI-000236,materialCode,MAT-00013
PI-000237,poNo,PO-000054
PI-000237,invoiceNo,INV-000065
PI-000237,amount,72033.17
PI-000238,prNo,PR-000049
PI-000238,materialCode,MAT-00011
PI-000238,amount,2467.26
PI-000239,prNo,PR-000049
PI-000239,poNo,PO-000055
PI-000239,amount,90072.62
PI-000239,supplierCode,SUP-001
PI-000240,poNo,PO-000055
PI-000240,grNo,GR-000071
PI-000240,materialCode,MAT-00007
PI-000241,poNo,PO-000055
PI-000241,grNo,GR-000072
PI-000241,materialCode,MAT-00007
PI-000242,poNo,PO-000055
PI-000242,invoiceNo,INV-000066
PI-000242,amount,91106.55
PI-000243,prNo,PR-000050
PI-000243,materialCode,MAT-00006
PI-000243,amount,30748.65
PI-000244,prNo,PR-000050
PI-000244,poNo,PO-000056
PI-000244,amount,71474.0
PI-000244,supplierCode,SUP-001
PI-000245,poNo,PO-000056
PI-000245,grNo,GR-000073
PI-000245,materialCode,MAT-00006
PI-000246,poNo,PO-000056
PI-000246,invoiceNo,INV-000067
PI-000246,amount,71568.92
PI-000247,prNo,PR-000051
PI-000247,materialCode,MAT-00029
PI-000247,amount,117870.95
PI-000248,prNo,PR-000051
PI-000248,poNo,PO-000057
PI-000248,amount,693.53
PI-000248,supplierCode,SUP-006
PI-000249,poNo,PO-000057
PI-000249,grNo,GR-000074
PI-000249,materialCode,MAT-00029
PI-000250,poNo,PO-000057
PI-000250,invoiceNo,INV-000068
PI-000250,amount,695.52
PI-000251,prNo,PR-000052
PI-000251,materialCode,MAT-00042
PI-000251,amount,104340.04
PI-000252,prNo,PR-000052
PI-000252,poNo,PO-000058
PI-000252,amount,62528.29
PI-000252,supplierCode,SUP-008
PI-000253,poNo,PO-000058
PI-000253,grNo,GR-000075
PI-000253,materialCode,MAT-00042
PI-000254,poNo,PO-000058
PI-000254,invoiceNo,INV-000069
PI-000254,amount,61300.57
PI-000255,prNo,PR-000053
PI-000255,materialCode,MAT-00049
PI-000255,amount,35091.6
PI-000256,prNo,PR-000053
PI-000256,poNo,PO-000059
PI-000256,amount,169554.56
PI-000256,supplierCode,SUP-008
PI-000257,poNo,PO-000059
PI-000257,grNo,GR-000076
PI-000257,materialCode,MAT-00049
PI-000258,poNo,PO-000059
PI-000258,invoiceNo,INV-000070
PI-000258,amount,172618.63
PI-000259,prNo,PR-000054
PI-000259,materialCode,MAT-00046
PI-000259,amount,19212.94
PI-000260,prNo,PR-000054
PI-000260,poNo,PO-000060
PI-000260,amount,15430.84
PI-000260,supplierCode,SUP-012
PI-000261,poNo,PO-000060
PI-000261,grNo,GR-000077
PI-000261,materialCode,MAT-00046
PI-000262,poNo,PO-000060
PI-000262,grNo,GR-000078
PI-000262,materialCode,MAT-00046
PI-000263,poNo,PO-000060
PI-000263,invoiceNo,INV-000071
PI-000263,amount,15568.13
PI-000264,prNo,PR-000054
PI-000264,poNo,PO-000061
PI-000264,amount,87731.58
PI-000264,supplierCode,SUP-011
PI-000265,poNo,PO-000061
PI-000265,grNo,GR-000079
PI-000265,materialCode,MAT-00046
PI-000266,poNo,PO-000061
PI-000266,invoiceNo,INV-000072
PI-000266,amount,87099.35
