gr_no,po_no,received_qty,received_at
GR-000070,PO-000054,31,2024-01-12 05:38:38.053571
GR-000071,PO-000055,39,2024-01-12 03:26:46.899700
GR-000072,PO-000055,38,2024-01-15 05:59:43.563705
GR-000073,PO-000056,31,2024-01-13 10:20:45.874610
GR-000074,PO-000057,1,2024-01-15 01:29:44.095226
GR-000075,PO-000058,52,2024-01-14 07:47:38.625658
GR-000076,PO-000059,169,2024-01-13 20:09:02.287981
GR-000077,PO-000060,9,2024-01-14 20:09:16.851879
GR-000078,PO-000060,6,2024-01-16 18:21:55.745956
GR-000079,PO-000061,2,2024-01-14 03:58:52.478092
GR-000080,PO-000062,25,2024-01-14 14:10:03.984070
GR-000081,PO-000063,4,2024-01-13 17:58:32.787211
GR-000082,PO-000064,20,2024-01-13 21:24:53.625030
GR-000083,PO-000065,28,2024-01-15 01:21:38.140679
GR-000084,PO-000066,95,2024-01-13 17:00:37.295431
GR-000085,PO-000068,33,2024-01-15 10:14:14.989220
GR-000086,PO-000069,111,2024-01-16 22:30:29.842048
GR-000087,PO-000069,80,2024-01-18 03:00:36.310181
GR-000088,PO-000070,97,2024-01-14 20:31:01.862621
GR-000089,PO-000071,15,2024-01-14 11:56:31.373573
GR-000090,PO-000071,52,2024-01-17 09:14:09.751638
GR-000091,PO-000072,56,2024-01-14 18:21:45.931237
GR-000092,PO-000073,26,2024-01-17 09:54:30.237146
GR-000093,PO-000074,48,2024-01-17 11:04:04.362758
GR-000094,PO-000075,66,2024-01-16 00:37:04.688450
GR-000095,PO-000076,29,2024-01-17 12:45:52.683073
GR-000096,PO-000076,14,2024-01-18 12:19:51.447006
GR-000097,PO-000077,88,2024-01-16 21:38:54.258006
GR-000098,PO-000078,4,2024-01-16 02:23:21.901580
GR-000099,PO-000079,21,2024-01-16 13:22:53.343072
GR-000100,PO-000080,49,2024-01-17 02:04:52.725936
GR-000101,PO-000081,73,2024-01-18 19:30:06.434757
GR-000102,PO-000082,25,2024-01-17 04:54:29.351439
GR-000103,PO-000083,51,2024-01-18 08:09:23.150405
GR-000104,PO-000084,17,2024-01-17 12:24:30.611657
GR-000105,PO-000084,33,2024-01-19 11:55:57.474629
GR-000106,PO-000085,99,2024-01-19 00:39:23.154616
GR-000107,PO-000086,51,2024-01-20 15:35:42.215325
GR-000108,PO-000086,13,2024-01-23 00:53:31.028493
GR-000109,PO-000087,102,2024-01-20 11:35:02.352761
GR-000110,PO-000088,70,2024-01-20 22:29:08.778096
GR-000111,PO-000088,6,2024-01-22 14:41:02.991174
GR-000112,PO-000090,14,2024-01-19 15:02:09.424462
GR-000113,PO-000091,26,2024-01-19 22:50:33.742560
GR-000114,PO-000092,27,2024-01-18 15:34:39.304277
GR-000115,PO-000093,105,2024-01-21 00:35:21.217279
GR-000116,PO-000094,5,2024-01-21 17:39:21.483378
GR-000117,PO-000094,89,2024-01-24 09:27:44.814508
GR-000118,PO-000095,38,2024-01-20 08:47:03.856843
GR-000119,PO-000095,49,2024-01-20 22:46:36.124908
GR-000120,PO-000096,34,2024-01-21 10:03:07.289576
GR-000121,PO-000097,40,2024-01-20 14:21:20.533981
GR-000122,PO-000097,48,2024-01-22 20:40:46.489489
GR-000123,PO-000098,128,2024-01-23 08:20:35.367317
GR-000124,PO-000098,39,2024-01-25 20:35:42.791959
GR-000125,PO-000099,27,2024-01-23 07:00:32.005615
GR-000126,PO-000100,59,2024-01-21 05:08:29.641120
GR-000127,PO-000100,146,2024-01-22 15:30:44.154710
GR-000128,PO-000101,2,2024-01-20 09:11:52.336272
GR-000129,PO-000102,24,2024-01-23 10:51:50.102031
GR-000130,PO-000103,217,2024-01-21 09:43:58.678756
GR-000131,PO-000104,6,2024-01-22 10:34:16.356798
GR-000132,PO-000105,79,2024-01-22 20:04:13.918398
GR-000133,PO-000106,90,2024-01-21 06:55:44.898834
GR-000134,PO-000107,43,2024-01-23 19:52:32.998746
GR-000135,PO-000108,108,2024-01-23 23:06:22.410554
GR-000136,PO-000109,23,2024-01-22 18:48:59.268564
GR-000137,PO-000109,86,2024-01-24 22:32:24.013780
GR-000138,PO-000110,40,2024-01-23 15:21:29.368440
GR-000139,PO-000111,55,2024-01-24 21:35:00.698418
GR-000140,PO-000112,22,2024-01-25 07:48:58.511704
GR-000141,PO-000113,28,2024-01-24 16:08:31.468396
GR-000142,PO-000114,3,2024-01-23 21:33:55.531317
GR-000143,PO-000114,4,2024-01-26 19:25:33.761202
GR-000144,PO-000115,150,2024-01-24 04:24:18.276203
GR-000145,PO-000115,25,2024-01-26 13:35:37.136999
GR-000146,PO-000116,101,2024-01-25 01:57:56.819948
GR-000147,PO-000117,130,2024-01-26 08:25:05.144855
GR-000148,PO-000117,61,2024-01-29 14:24:32.235049
GR-000149,PO-000118,32,2024-01-23 19:45:29.852194
GR-000150,PO-000119,46,2024-01-25 04:52:31.117672
GR-000151,PO-000119,18,2024-01-28 05:43:30.473195
GR-000152,PO-000120,9,2024-01-24 08:44:03.628114
GR-000153,PO-000121,118,2024-01-25 15:03:22.431068
GR-000154,PO-000122,1,2024-01-24 22:13:08.149130
GR-000155,PO-000123,73,2024-01-24 19:37:48.430145
GR-000156,PO-000123,84,2024-01-28 00:22:52.621195
GR-000157,PO-000124,74,2024-01-25 22:46:01.116354
GR-000158,PO-000125,103,2024-01-25 16:56:42.762948
GR-000159,PO-000126,24,2024-01-25 15:19:14.587609
GR-000160,PO-000127,108,2024-01-25 22:20:56.062345
GR-000161,PO-000128,8,2024-01-24 17:33:05.625120
GR-000162,PO-000129,22,2024-01-26 02:05:05.381390
GR-000163,PO-000130,85,2024-01-25 05:37:56.175978
GR-000164,PO-000131,92,2024-01-26 06:41:02.033846
GR-000165,PO-000131,30,2024-01-28 08:11:27.315632
GR-000166,PO-000132,143,2024-01-26 15:59:48.511056
GR-000167,PO-000132,71,2024-01-27 05:04:13.202996
GR-000168,PO-000133,99,2024-01-27 01:36:30.570880
GR-000169,PO-000133,1,2024-01-29 05:54:02.014759
GR-000170,PO-000134,84,2024-01-25 22:37:02.043350
GR-000171,PO-000135,199,2024-01-26 18:42:53.966204
GR-000172,PO-000135,74,2024-01-28 19:25:27.353558
GR-000173,PO-000136,100,2024-01-25 01:21:12.605020
GR-000174,PO-000136,39,2024-01-26 20:28:43.244061
GR-000175,PO-000137,55,2024-01-25 17:58:25.272562
GR-000176,PO-000138,68,2024-01-26 16:57:38.316913
GR-000177,PO-000139,83,2024-01-25 23:16:18.179948
GR-000178,PO-000140,71,2024-01-25 15:33:27.216870
GR-000179,PO-000141,3,2024-01-27 19:48:16.409105
GR-000180,PO-000142,10,2024-01-29 07:00:30.194823
GR-000181,PO-000143,41,2024-01-27 12:44:54.380382
GR-000182,PO-000144,178,2024-01-27 14:54:22.241203
GR-000183,PO-000144,26,2024-01-30 10:13:29.599041
GR-000184,PO-000145,66,2024-01-29 00:26:34.412924
GR-000185,PO-000145,75,2024-01-29 21:34:36.789837
GR-000186,PO-000146,68,2024-01-28 01:54:14.772565
GR-000187,PO-000147,46,2024-01-27 17:39:21.016991
GR-000188,PO-000148,117,2024-01-27 11:22:18.544234
GR-000189,PO-000149,55,2024-01-28 17:39:19.231851
GR-000190,PO-000150,64,2024-01-28 04:53:57.339409
GR-000191,PO-000151,3,2024-01-28 02:57:26.062594
GR-000192,PO-000152,155,2024-01-28 20:06:07.153245
GR-000193,PO-000153,39,2024-01-30 06:05:18.044278
GR-000194,PO-000154,107,2024-01-28 23:35:42.662595
GR-000195,PO-000155,29,2024-01-30 11:29:17.689181
GR-000196,PO-000156,133,2024-01-29 02:20:26.929763
GR-000197,PO-000156,15,2024-01-30 18:03:59.395596
GR-000198,PO-000157,71,2024-01-29 13:50:31.974031
GR-000199,PO-000158,1,2024-01-30 02:40:07.281095
GR-000200,PO-000159,7,2024-01-29 19:57:52.762296
GR-000201,PO-000160,15,2024-01-31 16:44:35.092406
GR-000202,PO-000161,49,2024-01-30 13:35:42.240148
GR-000203,PO-000162,28,2024-01-30 06:52:52.880067
GR-000204,PO-000163,81,2024-02-01 08:09:03.245025
GR-000205,PO-000164,11,2024-01-30 22:04:56.136865
GR-000206,PO-000164,22,2024-02-02 05:04:14.016650
GR-000207,PO-000165,29,2024-02-01 08:18:37.376627
GR-000208,PO-000166,1,2024-01-31 22:02:16.713173
GR-000209,PO-000167,41,2024-01-31 08:01:24.127133
GR-000210,PO-000168,37,2024-01-30 22:38:55.640497
GR-000211,PO-000169,14,2024-01-31 14:48:15.634287
GR-000212,PO-000170,61,2024-02-02 18:06:05.674841
GR-000213,PO-000171,9,2024-01-31 20:12:48.444758
GR-000214,PO-000172,56,2024-02-01 11:59:02.173963
GR-000215,PO-000172,26,2024-02-02 01:24:00.118157
GR-000216,PO-000173,52,2024-02-01 04:11:03.394116
GR-000217,PO-000173,5,2024-02-03 16:41:37.585889
GR-000218,PO-000174,37,2024-02-02 09:53:52.835780
GR-000219,PO-000175,45,2024-01-31 20:39:02.429429
GR-000220,PO-000175,49,2024-02-02 19:10:04.194440
GR-000221,PO-000176,41,2024-02-01 07:55:30.813102
GR-000222,PO-000177,14,2024-02-01 17:11:30.567001
GR-000223,PO-000178,25,2024-01-31 15:32:18.396288
GR-000224,PO-000178,20,2024-02-01 04:27:31.150340
GR-000225,PO-000179,16,2024-02-01 09:38:15.856042
GR-000226,PO-000180,13,2024-02-01 06:51:44.683971
GR-000227,PO-000181,42,2024-02-01 16:25:21.047870
GR-000228,PO-000182,102,2024-02-02 13:28:53.419025
GR-000229,PO-000182,72,2024-02-03 09:39:06.312677
GR-000230,PO-000183,35,2024-02-04 02:57:08.035769
GR-000231,PO-000184,30,2024-02-03 01:46:29.072455
GR-000232,PO-000185,26,2024-02-02 23:47:20.588016
GR-000233,PO-000186,100,2024-02-05 14:06:13.444537
GR-000234,PO-000187,67,2024-02-04 12:38:37.630228
GR-000235,PO-000188,55,2024-02-04 06:30:32.929867
GR-000236,PO-000189,43,2024-02-02 21:01:02.834540
GR-000237,PO-000189,36,2024-02-05 03:01:26.357300
GR-000238,PO-000190,91,2024-02-03 16:37:04.231491
GR-000239,PO-000191,24,2024-02-05 08:33:39.107165
GR-000240,PO-000192,15,2024-02-03 20:25:34.550240
GR-000241,PO-000193,44,2024-02-03 11:56:02.600880
GR-000242,PO-000193,76,2024-02-05 13:39:03.383693
GR-000243,PO-000194,59,2024-02-04 20:15:00.091801
GR-000244,PO-000194,48,2024-02-07 05:16:21.571019
GR-000245,PO-000195,4,2024-02-05 17:54:58.322875
GR-000246,PO-000195,4,2024-02-06 19:15:02.733384
GR-000247,PO-000196,41,2024-02-06 08:50:34.945971
GR-000248,PO-000196,69,2024-02-07 08:36:04.722700
GR-000249,PO-000197,18,2024-02-05 23:21:37.833291
GR-000250,PO-000197,24,2024-02-08 04:23:33.451910
GR-000251,PO-000198,3,2024-02-05 15:00:11.073724
GR-000252,PO-000199,46,2024-02-06 05:17:48.989425
GR-000253,PO-000199,151,2024-02-06 23:54:12.702748
GR-000254,PO-000200,78,2024-02-06 08:53:55.950808
GR-000255,PO-000201,44,2024-02-05 16:50:34.878743
GR-000256,PO-000202,36,2024-02-07 01:03:42.883140
GR-000257,PO-000203,53,2024-02-05 20:53:00.065599
GR-000258,PO-000204,67,2024-02-05 23:38:10.765896
GR-000259,PO-000205,75,2024-02-05 13:01:26.017273
GR-000260,PO-000206,67,2024-02-08 03:13:44.542433
GR-000261,PO-000207,30,2024-02-08 02:32:30.336836
GR-000262,PO-000208,15,2024-02-08 17:12:45.838730
GR-000263,PO-000209,29,2024-02-08 23:35:08.966041
GR-000264,PO-000210,72,2024-02-09 10:48:26.064647
GR-000265,PO-000211,134,2024-02-06 23:47:26.091132
GR-000266,PO-000212,81,2024-02-08 20:10:14.281588
GR-000267,PO-000212,38,2024-02-09 15:58:06.288389
GR-000268,PO-000213,51,2024-02-07 07:44:19.238866
GR-000269,PO-000213,61,2024-02-09 10:30:49.821868
