pr_no,material_code,qty,amount,requester,created_at
PR-000046,MAT-00029,11,228.59,EMP-0036,2024-01-10 00:55:47.133476
PR-000047,MAT-00005,64,11108.09,EMP-0028,2024-01-10 08:46:35.142876
PR-000048,MAT-00013,122,12778.03,EMP-0025,2024-01-10 10:13:20.615928
PR-000049,MAT-00011,5,2467.26,EMP-0011,2024-01-10 13:10:34.991476
PR-000050,MAT-00006,93,30748.65,EMP-0031,2024-01-10 15:35:10.296795
PR-000051,MAT-00029,161,117870.95,EMP-0027,2024-01-10 22:54:07.583675
PR-000052,MAT-00042,165,104340.04,EMP-0025,2024-01-11 04:55:27.140575
PR-000053,MAT-00049,193,35091.6,EMP-0008,2024-01-11 09:41:49.481575
PR-000054,MAT-00046,118,19212.94,EMP-0027,2024-01-11 15:26:40.505248
PR-000055,MAT-00047,122,96614.58,EMP-0020,2024-01-11 20:46:39.566548
PR-000056,MAT-00025,6,634.97,EMP-0025,2024-01-12 02:00:02.563163
PR-000057,MAT-00045,23,4679.36,EMP-0015,2024-01-12 07:02:45.049439
PR-000058,MAT-00001,92,55780.52,EMP-0020,2024-01-12 10:14:52.472803
PR-000059,MAT-00032,55,31228.28,EMP-0039,2024-01-12 13:28:08.051332
PR-000060,MAT-00001,96,60490.84,EMP-0026,2024-01-12 20:49:29.489262
PR-000061,MAT-00037,98,3893.16,EMP-0006,2024-01-13 01:37:50.035923
PR-000062,MAT-00011,154,42344.2,EMP-0029,2024-01-13 03:27:55.363305
PR-000063,MAT-00013,76,12750.57,EMP-0028,2024-01-13 07:08:34.931032
PR-000064,MAT-00043,42,10787.43,EMP-0036,2024-01-13 10:10:17.431793
PR-000065,MAT-00008,145,46944.46,EMP-0030,2024-01-13 11:22:02.292396
PR-000066,MAT-00053,75,55452.99,EMP-0015,2024-01-13 14:41:01.471228
PR-000067,MAT-00032,9,2077.5,EMP-0002,2024-01-13 22:21:18.204389
PR-000068,MAT-00058,167,52150.46,EMP-0027,2024-01-14 01:41:59.846171
PR-000069,MAT-00021,113,17836.3,EMP-0025,2024-01-14 07:14:44.846126
PR-000070,MAT-00035,51,40211.94,EMP-0024,2024-01-14 11:52:34.800889
PR-000071,MAT-00047,174,40274.73,EMP-0019,2024-01-14 13:41:57.899497
PR-000072,MAT-00007,140,33100.62,EMP-0021,2024-01-14 19:40:24.789412
PR-000073,MAT-00041,92,64223.06,EMP-0007,2024-01-14 20:54:37.804010
PR-000074,MAT-00025,132,103568.24,EMP-0007,2024-01-15 02:10:33.511958
PR-000075,MAT-00053,116,16522.45,EMP-0019,2024-01-15 08:28:25.582218
PR-000076,MAT-00010,156,38691.06,EMP-0009,2024-01-15 14:40:47.658006
PR-000077,MAT-00014,79,32499.66,EMP-0015,2024-01-15 16:26:27.192918
PR-000078,MAT-00042,165,107568.8,EMP-0006,2024-01-16 00:26:19.798334
PR-000079,MAT-00051,7,1950.44,EMP-0002,2024-01-16 05:47:32.020287
PR-000080,MAT-00026,41,21481.79,EMP-0016,2024-01-16 13:35:48.814570
PR-000081,MAT-00013,68,46760.97,EMP-0025,2024-01-16 19:04:23.584678
PR-000082,MAT-00011,26,10612.36,EMP-0034,2024-01-16 21:20:10.087024
PR-000083,MAT-00045,137,58485.96,EMP-0037,2024-01-17 02:01:38.991728
PR-000084,MAT-00022,65,48037.28,EMP-0010,2024-01-17 07:00:32.785773
PR-000085,MAT-00009,186,80603.23,EMP-0026,2024-01-17 10:17:28.262587
PR-000086,MAT-00021,151,93873.86,EMP-0006,2024-01-17 14:24:45.749199
PR-000087,MAT-00005,116,37568.88,EMP-0018,2024-01-17 18:39:05.518618
PR-000088,MAT-00050,104,18676.35,EMP-0033,2024-01-17 22:46:13.213374
PR-000089,MAT-00017,116,88367.63,EMP-0005,2024-01-18 04:32:01.347586
PR-000090,MAT-00013,66,49083.44,EMP-0005,2024-01-18 08:17:06.987897
PR-000091,MAT-00056,156,104635.18,EMP-0016,2024-01-18 15:12:39.723174
PR-000092,MAT-00040,187,146603.76,EMP-0022,2024-01-18 20:53:49.035073
PR-000093,MAT-00045,122,79545.37,EMP-0011,2024-01-19 03:51:43.377185
PR-000094,MAT-00045,141,73099.71,EMP-0035,2024-01-19 07:01:42.586273
PR-000095,MAT-00059,21,13713.63,EMP-0035,2024-01-19 11:52:47.837649
PR-000096,MAT-00028,119,17101.73,EMP-0001,2024-01-19 13:13:20.959983
PR-000097,MAT-00048,25,19623.75,EMP-0002,2024-01-19 19:05:38.622925
PR-000098,MAT-00056,186,8122.8,EMP-0002,2024-01-19 20:17:07.132445
PR-000099,MAT-00006,119,83453.09,EMP-0017,2024-01-20 04:00:38.628491
PR-000100,MAT-00028,112,86654.91,EMP-0026,2024-01-20 06:40:27.374589
PR-000101,MAT-00033,52,4084.3,EMP-0025,2024-01-20 08:03:37.177386
PR-000102,MAT-00026,117,71237.92,EMP-0037,2024-01-20 10:01:53.528415
PR-000103,MAT-00012,88,28466.21,EMP-0031,2024-01-20 17:57:25.933180
PR-000104,MAT-00012,129,15549.6,EMP-0019,2024-01-21 00:50:53.657008
PR-000105,MAT-00054,8,2193.13,EMP-0012,2024-01-21 06:26:09.638371
PR-000106,MAT-00014,187,86955.48,EMP-0011,2024-01-21 07:54:03.130948
PR-000107,MAT-00018,16,2396.07,EMP-0032,2024-01-21 10:30:59.462168
PR-000108,MAT-00055,140,105853.59,EMP-0007,2024-01-21 15:54:39.267887
PR-000109,MAT-00005,55,43944.69,EMP-0020,2024-01-21 17:21:17.199316
PR-000110,MAT-00017,104,73131.84,EMP-0024,2024-01-21 20:03:08.618538
PR-000111,MAT-00056,187,147630.26,EMP-0006,2024-01-21 21:18:26.634069
PR-000112,MAT-00051,158,12113.12,EMP-0032,2024-01-22 02:00:40.927410
PR-000113,MAT-00026,93,34429.42,EMP-0004,2024-01-22 04:56:53.772924
PR-000114,MAT-00012,74,7584.92,EMP-0026,2024-01-22 06:51:29.971617
PR-000115,MAT-00060,117,32828.41,EMP-0022,2024-01-22 07:54:13.651276
PR-000116,MAT-00002,137,71730.59,EMP-0002,2024-01-22 09:38:00.746923
PR-000117,MAT-00010,102,9978.23,EMP-0008,2024-01-22 10:43:57.565492
PR-000118,MAT-00013,147,30877.01,EMP-0005,2024-01-22 12:46:49.278211
PR-000119,MAT-00040,32,10512.23,EMP-0020,2024-01-22 19:16:45.505993
PR-000120,MAT-00055,64,11009.55,EMP-0003,2024-01-23 01:27:55.220457
PR-000121,MAT-00003,150,94487.11,EMP-0039,2024-01-23 03:33:15.126781
PR-000122,MAT-00020,3,303.32,EMP-0026,2024-01-23 08:18:16.920441
PR-000123,MAT-00021,182,136783.66,EMP-0031,2024-01-23 09:44:52.097779
PR-000124,MAT-00011,107,75433.48,EMP-0031,2024-01-23 11:34:33.639730
PR-000125,MAT-00038,17,13426.78,EMP-0026,2024-01-23 13:42:50.788731
PR-000126,MAT-00025,75,15896.81,EMP-0007,2024-01-23 20:51:16.751461
PR-000127,MAT-00025,135,48149.71,EMP-0020,2024-01-23 22:06:09.991526
PR-000128,MAT-00003,130,18592.84,EMP-0029,2024-01-24 02:09:43.557507
PR-000129,MAT-00043,47,15392.88,EMP-0030,2024-01-24 07:55:04.158827
PR-000130,MAT-00050,120,58442.47,EMP-0009,2024-01-24 08:56:31.429333
PR-000131,MAT-00036,87,23519.78,EMP-0016,2024-01-24 12:10:56.873262
PR-000132,MAT-00001,89,56497.31,EMP-0017,2024-01-24 18:37:27.876814
PR-000133,MAT-00029,186,3802.77,EMP-0002,2024-01-24 23:43:44.756836
PR-000134,MAT-00038,41,21921.84,EMP-0037,2024-01-25 00:54:51.289344
PR-000135,MAT-00053,109,58211.14,EMP-0029,2024-01-25 04:52:47.502464
PR-000136,MAT-00043,77,54529.02,EMP-0024,2024-01-25 11:21:17.645122
PR-000137,MAT-00035,109,72096.92,EMP-0001,2024-01-25 17:31:03.596008
PR-000138,MAT-00021,153,48586.44,EMP-0014,2024-01-25 20:28:54.994034
PR-000139,MAT-00029,104,68835.11,EMP-0037,2024-01-26 03:50:53.705660
PR-000140,MAT-00048,167,89485.49,EMP-0020,2024-01-26 05:19:10.642897
PR-000141,MAT-00002,114,68951.54,EMP-0028,2024-01-26 08:12:58.169854
PR-000142,MAT-00012,169,19106.77,EMP-0016,2024-01-26 14:49:06.800747
PR-000143,MAT-00025,4,812.37,EMP-0027,2024-01-26 16:11:05.590461
PR-000144,MAT-00013,142,109102.96,EMP-0005,2024-01-26 21:27:01.256285
PR-000145,MAT-00043,27,7480.2,EMP-0005,2024-01-27 04:36:50.362665
PR-000146,MAT-00050,111,57455.45,EMP-0038,2024-01-27 09:39:45.700039
PR-000147,MAT-00021,70,49061.49,EMP-0028,2024-01-27 10:54:50.671485
PR-000148,MAT-00037,76,2986.57,EMP-0031,2024-01-27 13:45:28.467115
PR-000149,MAT-00046,10,1266.3,EMP-0014,2024-01-27 20:10:33.851646
PR-000150,MAT-00059,93,33362.74,EMP-0026,2024-01-28 00:22:53.466118
PR-000151,MAT-00007,75,47613.29,EMP-0007,2024-01-28 02:33:32.097939
PR-000152,MAT-00060,196,64125.17,EMP-0018,2024-01-28 09:42:21.652851
PR-000153,MAT-00037,155,35997.94,EMP-0016,2024-01-28 13:30:55.725919
PR-000154,MAT-00019,13,1032.01,EMP-0023,2024-01-28 15:34:39.870209
PR-000155,MAT-00018,116,57091.12,EMP-0036,2024-01-28 17:13:25.059992
PR-000156,MAT-00002,77,7685.74,EMP-0005,2024-01-28 18:20:38.339261
PR-000157,MAT-00038,46,33206.51,EMP-0016,2024-01-28 21:51:29.740814
PR-000158,MAT-00028,52,1216.2,EMP-0034,2024-01-29 04:47:57.040353
PR-000159,MAT-00043,37,3460.47,EMP-0026,2024-01-29 06:54:49.443822
PR-000160,MAT-00027,13,7989.35,EMP-0016,2024-01-29 09:54:19.194522
PR-000161,MAT-00009,36,19656.57,EMP-0006,2024-01-29 14:29:17.686983
PR-000162,MAT-00026,170,88678.77,EMP-0002,2024-01-29 20:46:04.416848
PR-000163,MAT-00049,126,63496.9,EMP-0015,2024-01-30 02:33:34.984197
PR-000164,MAT-00044,168,115497.97,EMP-0003,2024-01-30 04:09:05.806226
PR-000165,MAT-00035,135,53015.22,EMP-0013,2024-01-30 08:21:46.719169
PR-000166,MAT-00029,46,27645.09,EMP-0023,2024-01-30 11:55:43.107690
PR-000167,MAT-00039,103,43942.56,EMP-0031,2024-01-30 12:59:21.767089
PR-000168,MAT-00014,73,40993.11,EMP-0012,2024-01-30 15:48:52.905159
PR-000169,MAT-00030,119,84631.7,EMP-0023,2024-01-30 18:46:27.404066
PR-000170,MAT-00005,71,41201.06,EMP-0040,2024-01-30 23:27:41.606471
PR-000171,MAT-00025,118,34128.7,EMP-0008,2024-01-31 07:16:21.238863
PR-000172,MAT-00002,45,28674.45,EMP-0036,2024-01-31 08:34:47.967977
PR-000173,MAT-00058,131,55164.96,EMP-0028,2024-01-31 11:02:51.616118
PR-000174,MAT-00006,171,107626.67,EMP-0022,2024-01-31 15:24:40.156886
PR-000175,MAT-00030,7,1182.66,EMP-0008,2024-01-31 19:13:41.190253
PR-000176,MAT-00012,29,10158.29,EMP-0009,2024-02-01 01:47:57.626038
PR-000177,MAT-00008,7,4923.41,EMP-0023,2024-02-01 07:37:52.371571
PR-000178,MAT-00060,167,96844.37,EMP-0012,2024-02-01 13:44:01.001294
PR-000179,MAT-00024,105,16324.49,EMP-0037,2024-02-01 20:22:21.258680
PR-000180,MAT-00054,55,35508.9,EMP-0028,2024-02-01 22:14:48.561036
PR-000181,MAT-00010,116,47852.99,EMP-0020,2024-02-02 03:45:40.575484
PR-000182,MAT-00058,101,36072.08,EMP-0008,2024-02-02 08:14:04.252279
PR-000183,MAT-00029,96,7040.15,EMP-0027,2024-02-02 12:50:24.826734
PR-000184,MAT-00019,134,44488.6,EMP-0029,2024-02-02 14:16:12.934315
PR-000185,MAT-00047,139,109634.91,EMP-0007,2024-02-02 21:08:59.119378
PR-000186,MAT-00060,92,43254.65,EMP-0011,2024-02-03 02:25:04.815136
PR-000187,MAT-00010,144,6264.86,EMP-0037,2024-02-03 10:16:56.210827
PR-000188,MAT-00018,29,19806.98,EMP-0020,2024-02-03 13:03:03.018594
PR-000189,MAT-00028,145,4864.77,EMP-0010,2024-02-03 18:00:35.259981
PR-000190,MAT-00029,1,746.15,EMP-0034,2024-02-03 22:54:10.604524
PR-000191,MAT-00043,12,7727.42,EMP-0039,2024-02-04 03:06:27.292652
PR-000192,MAT-00027,142,91815.44,EMP-0024,2024-02-04 04:35:48.910988
PR-000193,MAT-00003,196,115036.38,EMP-0017,2024-02-04 06:44:21.979553
PR-000194,MAT-00036,58,29401.78,EMP-0005,2024-02-04 09:44:34.849121
PR-000195,MAT-00033,40,2987.23,EMP-0003,2024-02-04 16:49:30.111628
PR-000196,MAT-00051,7,5402.65,EMP-0027,2024-02-04 21:51:28.041135
PR-000197,MAT-00021,183,53705.3,EMP-0016,2024-02-05 03:19:02.956317
PR-000198,MAT-00019,95,64451.56,EMP-0025,2024-02-05 10:34:22.821101
PR-000199,MAT-00028,15,9506.64,EMP-0031,2024-02-05 13:31:43.528346
PR-000200,MAT-00051,133,3859.41,EMP-0013,2024-02-05 20:30:39.034560
