po_no,item_no,material_code,qty,unit_price
PO-000068,020,MAT-00014,51,164.5
PO-000068,030,MAT-00051,3,629.41
PO-000068,040,MAT-00032,81,128.32
PO-000069,010,MAT-00011,83,39.16
PO-000069,020,MAT-00031,13,1247.33
PO-000069,030,MAT-00027,93,461.98
PO-000070,010,MAT-00013,91,900.53
PO-000070,020,MAT-00047,1,154.95
PO-000070,030,MAT-00033,90,938.85
PO-000071,010,MAT-00043,13,1341.15
PO-000071,020,MAT-00059,39,901.6
PO-000071,030,MAT-00012,73,662.19
PO-000071,040,MAT-00057,42,1209.5
PO-000072,010,MAT-00008,45,1355.29
PO-000072,020,MAT-00034,50,776.87
PO-000073,010,MAT-00053,64,123.27
PO-000073,020,MAT-00037,79,1059.09
PO-000074,010,MAT-00032,94,1393.92
PO-000074,020,MAT-00049,8,1213.98
PO-000074,030,MAT-00036,50,1429.42
PO-000074,040,MAT-00060,87,441.82
PO-000075,010,MAT-00058,78,716.41
PO-000076,010,MAT-00021,30,1004.65
PO-000077,010,MAT-00035,3,36.89
PO-000077,020,MAT-00054,70,913.23
PO-000077,030,MAT-00010,13,1107.77
PO-000077,040,MAT-00051,51,303.51
PO-000078,010,MAT-00047,9,535.42
PO-000078,020,MAT-00036,29,527.26
PO-000079,010,MAT-00007,86,1009.42
PO-000079,020,MAT-00005,25,1240.2
PO-000079,030,MAT-00033,19,1097.5
PO-000079,040,MAT-00006,23,673.45
PO-000080,010,MAT-00041,94,608.01
PO-000080,020,MAT-00054,32,390.07
PO-000080,030,MAT-00024,77,516.75
PO-000080,040,MAT-00044,52,460.76
PO-000081,010,MAT-00025,39,929.14
PO-000081,020,MAT-00035,32,1045.97
PO-000081,030,MAT-00004,48,866.4
PO-000082,010,MAT-00053,42,211.99
PO-000082,020,MAT-00005,4,322.41
PO-000083,010,MAT-00010,84,307.46
PO-000084,010,MAT-00014,36,173.65
PO-000084,020,MAT-00016,21,498.34
PO-000084,030,MAT-00031,93,895.52
PO-000084,040,MAT-00003,100,994.24
PO-000085,010,MAT-00051,98,1350.81
PO-000085,020,MAT-00021,55,571.53
PO-000085,030,MAT-00010,75,1108.57
PO-000086,010,MAT-00026,35,1424.99
PO-000086,020,MAT-00003,49,1259.4
PO-000086,030,MAT-00017,15,945.94
PO-000087,010,MAT-00013,53,291.3
PO-000087,020,MAT-00034,75,608.43
PO-000088,010,MAT-00045,95,86.21
PO-000088,020,MAT-00002,7,1450.65
PO-000088,030,MAT-00025,25,537.37
PO-000089,010,MAT-00022,82,690.65
PO-000089,020,MAT-00059,20,689.52
PO-000089,030,MAT-00057,47,347.4
PO-000090,010,MAT-00009,73,1005.49
PO-000090,020,MAT-00018,96,1025.74
PO-000090,030,MAT-00050,20,967.24
PO-000090,040,MAT-00037,26,238.76
PO-000091,010,MAT-00009,41,1360.14
PO-000091,020,MAT-00004,84,369.62
PO-000091,030,MAT-00020,34,681.66
PO-000091,040,MAT-00028,44,75.08
PO-000092,010,MAT-00021,20,895.51
PO-000092,020,MAT-00012,28,155.85
PO-000093,010,MAT-00005,32,1189.2
PO-000093,020,MAT-00028,90,1230.6
PO-000093,030,MAT-00001,39,402.57
PO-000094,010,MAT-00050,62,847.83
PO-000094,020,MAT-00019,86,1288.18
PO-000094,030,MAT-00016,10,930.31
PO-000094,040,MAT-00057,1,1281.23
PO-000095,010,MAT-00017,59,579.08
PO-000096,010,MAT-00017,31,904.48
PO-000096,020,MAT-00019,64,1163.05
PO-000097,010,MAT-00013,30,164.04
PO-000097,020,MAT-00006,53,1072.95
PO-000098,010,MAT-00056,97,388.37
PO-000098,020,MAT-00060,53,262.84
PO-000098,030,MAT-00055,64,202.47
PO-000098,040,MAT-00003,27,124.02
PO-000099,010,MAT-00040,29,1322.91
PO-000099,020,MAT-00016,60,1359.18
PO-000100,010,MAT-00045,91,326.51
PO-000100,020,MAT-00031,84,65.25
PO-000100,030,MAT-00011,51,299.36
PO-000101,010,MAT-00045,4,520.17
PO-000101,020,MAT-00025,97,657.12
PO-000101,030,MAT-00052,66,1167.16
PO-000102,010,MAT-00059,61,339.35
PO-000103,010,MAT-00028,89,161.77
PO-000103,020,MAT-00056,85,781.97
PO-000103,030,MAT-00020,96,614.52
PO-000104,010,MAT-00048,11,1150.16
PO-000105,010,MAT-00056,37,744.34
PO-000105,020,MAT-00059,99,128.76
PO-000105,030,MAT-00012,98,444.13
PO-000105,040,MAT-00040,6,481.46
PO-000106,010,MAT-00006,99,350.41
PO-000107,010,MAT-00028,20,1032.09
PO-000107,020,MAT-00005,42,1411.36
PO-000107,030,MAT-00014,13,1429.89
PO-000107,040,MAT-00050,28,392.23
PO-000108,010,MAT-00028,73,846.38
PO-000108,020,MAT-00004,53,938.99
PO-000108,030,MAT-00002,72,717.37
PO-000108,040,MAT-00026,82,189.81
PO-000109,010,MAT-00033,18,1093.14
PO-000109,020,MAT-00049,53,1012.02
PO-000109,030,MAT-00039,18,526.66
PO-000109,040,MAT-00036,12,1122.61
PO-000110,010,MAT-00026,83,139.76
PO-000111,010,MAT-00012,87,1342.39
PO-000112,010,MAT-00012,31,209.72
PO-000113,010,MAT-00054,31,1346.61
PO-000113,020,MAT-00021,84,555.08
PO-000114,010,MAT-00014,8,923.94
PO-000114,020,MAT-00013,1,871.18
PO-000115,010,MAT-00018,48,643.44
PO-000115,020,MAT-00051,40,940.02
PO-000115,030,MAT-00024,57,891.33
PO-000115,040,MAT-00050,45,567.38
PO-000116,010,MAT-00055,2,815.56
PO-000116,020,MAT-00004,4,400.36
PO-000116,030,MAT-00003,54,719.35
PO-000116,040,MAT-00031,86,154.14
PO-000117,010,MAT-00005,84,61.88
PO-000117,020,MAT-00013,90,444.39
PO-000117,030,MAT-00002,73,633.34
PO-000118,010,MAT-00017,36,1068.07
PO-000118,020,MAT-00007,12,568.18
PO-000119,010,MAT-00017,58,666.01
PO-000120,010,MAT-00056,19,194.87
PO-000120,020,MAT-00053,15,37.13
PO-000121,010,MAT-00051,43,773.09
PO-000121,020,MAT-00008,59,737.69
PO-000121,030,MAT-00019,91,148.97
PO-000122,010,MAT-00051,1,1436.12
PO-000123,010,MAT-00026,88,278.03
PO-000124,010,MAT-00060,90,1436.79
PO-000124,020,MAT-00007,83,1195.96
PO-000124,030,MAT-00047,85,268.81
PO-000124,040,MAT-00023,68,1181.73
PO-000125,010,MAT-00060,97,1317.36
PO-000125,020,MAT-00003,50,362.29
PO-000125,030,MAT-00026,20,139.91
PO-000125,040,MAT-00033,51,552.65
PO-000126,010,MAT-00002,47,1226.23
PO-000126,020,MAT-00043,36,1112.6
PO-000127,010,MAT-00010,57,1134.32
PO-000127,020,MAT-00009,19,326.58
PO-000127,030,MAT-00014,89,1473.97
PO-000128,010,MAT-00013,24,361.26
PO-000128,020,MAT-00010,6,250.43
PO-000128,030,MAT-00038,9,537.68
PO-000129,010,MAT-00040,19,348.43
PO-000129,020,MAT-00038,43,758.25
PO-000130,010,MAT-00055,72,920.11
PO-000130,020,MAT-00018,55,595.4
PO-000131,010,MAT-00003,24,257.87
PO-000131,020,MAT-00024,38,237.24
PO-000131,030,MAT-00008,49,276.58
PO-000131,040,MAT-00044,42,1032.37
PO-000132,010,MAT-00020,57,962.85
PO-000132,020,MAT-00031,32,1250.38
PO-000132,030,MAT-00034,42,1167.27
PO-000132,040,MAT-00025,82,611.56
PO-000133,010,MAT-00021,81,960.15
PO-000133,020,MAT-00049,57,1111.19
PO-000133,030,MAT-00057,18,875.31
PO-000133,040,MAT-00039,3,675.9
PO-000134,010,MAT-00011,28,165.92
PO-000134,020,MAT-00045,77,98.69
PO-000134,030,MAT-00048,32,600.66
PO-000135,010,MAT-00038,80,1130.36
PO-000135,020,MAT-00058,86,928.38
PO-000135,030,MAT-00030,75,565.51
PO-000136,010,MAT-00025,53,1244.93
PO-000136,020,MAT-00003,48,1445.55
PO-000136,030,MAT-00003,25,1008.88
PO-000137,010,MAT-00025,22,252.97
PO-000137,020,MAT-00007,27,817.7
PO-000137,030,MAT-00025,73,76.27
PO-000137,040,MAT-00033,61,1328.63
PO-000138,010,MAT-00003,36,628.12
PO-000138,020,MAT-00002,58,492.65
PO-000139,010,MAT-00043,7,471.25
PO-000139,020,MAT-00027,95,1134.54
PO-000139,030,MAT-00036,20,1422.0
PO-000140,010,MAT-00050,46,706.3
PO-000140,020,MAT-00033,5,36.87
PO-000140,030,MAT-00042,33,1008.66
PO-000141,010,MAT-00036,4,699.13
PO-000142,010,MAT-00001,13,1495.37
PO-000143,010,MAT-00029,45,1436.32
PO-000143,020,MAT-00016,27,272.37
PO-000144,010,MAT-00038,80,1414.99
PO-000144,020,MAT-00011,44,708.9
PO-000144,030,MAT-00035,86,445.41
PO-000145,010,MAT-00053,59,280.34
PO-000145,020,MAT-00031,85,1343.72
PO-000146,010,MAT-00043,28,55.17
PO-000146,020,MAT-00031,83,668.45
PO-000147,010,MAT-00035,48,398.82
PO-000148,010,MAT-00029,66,826.97
PO-000148,020,MAT-00008,46,1313.3
PO-000148,030,MAT-00037,58,1497.15
PO-000149,010,MAT-00048,73,1399.74
PO-000150,010,MAT-00002,89,842.68
PO-000151,010,MAT-00012,62,1093.72
PO-000151,020,MAT-00051,8,1297.36
PO-000151,030,MAT-00044,87,1162.27
PO-000152,010,MAT-00025,56,1447.17
PO-000152,020,MAT-00060,39,1273.7
PO-000152,030,MAT-00026,75,333.99
PO-000152,040,MAT-00022,50,1329.48
PO-000153,010,MAT-00013,51,611.69
PO-000154,010,MAT-00043,58,795.9
PO-000154,020,MAT-00035,84,732.37
PO-000155,010,MAT-00050,44,882.95
PO-000156,010,MAT-00021,48,772.24
PO-000156,020,MAT-00039,98,1072.63
PO-000156,030,MAT-00025,22,616.41
PO-000157,010,MAT-00046,50,277.38
PO-000157,020,MAT-00008,45,1118.37
PO-000157,030,MAT-00037,46,823.98
PO-000158,010,MAT-00059,1,1459.61
PO-000158,020,MAT-00048,43,524.76
PO-000158,030,MAT-00047,93,1468.47
PO-000159,010,MAT-00007,10,184.1
PO-000160,010,MAT-00060,32,1008.1
PO-000160,020,MAT-00002,53,1180.42
PO-000160,030,MAT-00026,94,814.52
PO-000160,040,MAT-00019,73,713.53
PO-000161,010,MAT-00037,99,52.0
PO-000162,010,MAT-00019,48,172.36
PO-000163,010,MAT-00002,87,1493.15
PO-000164,010,MAT-00038,24,1067.47
PO-000165,010,MAT-00038,32,741.18
PO-000165,020,MAT-00054,47,1013.87
PO-000166,010,MAT-00028,4,850.0
PO-000166,020,MAT-00024,54,430.7
PO-000167,010,MAT-00043,39,648.31
PO-000167,020,MAT-00016,1,1208.63
PO-000167,030,MAT-00030,25,1412.94
PO-000168,010,MAT-00027,41,444.2
PO-000168,020,MAT-00033,92,322.42
PO-000169,010,MAT-00009,18,155.58
PO-000169,020,MAT-00038,16,1124.29
PO-000169,030,MAT-00009,86,641.95
PO-000170,010,MAT-00026,4,1050.47
PO-000170,020,MAT-00021,64,1327.93
PO-000170,030,MAT-00045,12,1213.04
PO-000171,010,MAT-00049,24,1212.09
PO-000171,020,MAT-00023,15,1042.47
PO-000171,030,MAT-00034,47,751.43
PO-000171,040,MAT-00034,25,837.7
PO-000172,010,MAT-00044,72,749.14
PO-000172,020,MAT-00040,5,1332.28
PO-000173,010,MAT-00035,55,319.12
PO-000173,020,MAT-00014,1,455.83
PO-000173,030,MAT-00044,15,121.35
PO-000173,040,MAT-00030,54,1172.02
PO-000174,010,MAT-00029,51,802.65
PO-000175,010,MAT-00039,16,726.05
PO-000175,020,MAT-00015,91,451.2
PO-000176,010,MAT-00039,31,397.17
PO-000176,020,MAT-00031,48,167.25
PO-000177,010,MAT-00014,63,524.59
PO-000177,020,MAT-00003,18,1239.86
PO-000178,010,MAT-00030,34,1310.1
PO-000179,010,MAT-00005,33,96.37
PO-000180,010,MAT-00025,23,109.02
PO-000181,010,MAT-00002,94,1321.91
PO-000181,020,MAT-00023,55,1050.43
PO-000181,030,MAT-00059,79,940.81
PO-000181,040,MAT-00016,10,320.92
PO-000182,010,MAT-00058,77,948.33
PO-000182,020,MAT-00060,65,1054.53
PO-000182,030,MAT-00032,36,813.11
PO-000183,010,MAT-00006,39,1299.72
PO-000183,020,MAT-00023,27,549.51
PO-000184,010,MAT-00030,7,911.35
PO-000184,020,MAT-00059,40,259.98
PO-000185,010,MAT-00030,28,582.34
PO-000186,010,MAT-00008,27,370.02
PO-000186,020,MAT-00025,72,399.42
PO-000186,030,MAT-00049,72,688.52
PO-000187,010,MAT-00060,23,293.34
PO-000187,020,MAT-00051,5,619.2
PO-000187,030,MAT-00058,84,1375.69
PO-000187,040,MAT-00019,26,258.49
PO-000188,010,MAT-00024,39,559.36
PO-000188,020,MAT-00018,9,606.55
PO-000188,030,MAT-00034,64,934.98
PO-000189,010,MAT-00054,91,1187.26
PO-000189,020,MAT-00031,22,1324.57
PO-000189,030,MAT-00017,39,299.03
PO-000189,040,MAT-00020,26,950.05
PO-000190,010,MAT-00010,89,529.94
PO-000190,020,MAT-00033,61,843.53
PO-000191,010,MAT-00058,65,1215.88
PO-000191,020,MAT-00043,84,638.74
PO-000191,030,MAT-00029,59,1317.74
PO-000191,040,MAT-00020,25,1033.47
PO-000192,010,MAT-00029,49,750.27
PO-000193,010,MAT-00029,47,132.04
PO-000193,020,MAT-00024,67,852.34
PO-000194,010,MAT-00019,74,1059.67
PO-000195,010,MAT-00047,7,1013.79
PO-000196,010,MAT-00060,93,685.39
PO-000196,020,MAT-00044,11,124.13
PO-000196,030,MAT-00031,87,336.61
PO-000197,010,MAT-00010,33,570.12
PO-000198,010,MAT-00010,12,1496.02
PO-000199,010,MAT-00018,58,768.46
PO-000199,020,MAT-00015,87,752.87
PO-000199,030,MAT-00027,86,1479.54
PO-000200,010,MAT-00028,76,1106.02
PO-000200,020,MAT-00055,10,1114.84
PO-000201,010,MAT-00029,8,438.2
PO-000201,020,MAT-00015,55,1462.94
PO-000201,030,MAT-00038,48,1102.03
PO-000202,010,MAT-00043,19,990.11
PO-000202,020,MAT-00027,34,244.97
PO-000203,010,MAT-00027,44,222.17
PO-000203,020,MAT-00011,85,792.12
PO-000204,010,MAT-00003,96,353.97
PO-000204,020,MAT-00012,92,279.8
PO-000204,030,MAT-00055,10,1447.79
PO-000204,040,MAT-00011,37,823.38
PO-000205,010,MAT-00036,26,53.2
PO-000205,020,MAT-00047,100,827.18
PO-000205,030,MAT-00020,8,295.0
PO-000205,040,MAT-00047,47,1029.55
PO-000206,010,MAT-00033,34,894.76
PO-000206,020,MAT-00028,4,1437.85
PO-000206,030,MAT-00005,33,1343.13
PO-000207,010,MAT-00051,30,171.89
PO-000207,020,MAT-00022,45,1337.04
PO-000207,030,MAT-00037,57,728.97
PO-000207,040,MAT-00003,16,401.32
PO-000208,010,MAT-00051,31,423.52
PO-000209,010,MAT-00021,63,1095.67
PO-000210,010,MAT-00021,29,373.66
PO-000210,020,MAT-00040,92,1142.02
PO-000210,030,MAT-00030,97,1166.28
PO-000210,040,MAT-00017,100,1144.49
PO-000211,010,MAT-00019,87,1013.11
PO-000211,020,MAT-00056,28,1021.41
PO-000211,030,MAT-00006,89,567.86
PO-000211,040,MAT-00016,22,155.49
PO-000212,010,MAT-00028,54,661.46
PO-000212,020,MAT-00037,39,393.59
PO-000212,030,MAT-00032,28,1037.67
PO-000213,010,MAT-00051,62,26.56
