instance_id,process_key,act_inst_id,node_id,node_name,task_type,seq,task_id,assignee,assignee_role,start_time,end_time,outcome,duration_ms
PI-000005,purchase_order,PI-000005|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000020,EMP-0052,采购专员,2024-01-02 13:02:54.232958,2024-01-02 13:06:57.232958,approve,243000
PI-000005,purchase_order,PI-000005|A02,n_send_po,Send Order to Supplier,serviceTask,2,TK-0000021,EMP-0060,采购专员,2024-01-02 15:47:29.618457,2024-01-02 15:52:23.618457,approve,294000
PI-000006,goods_receipt,PI-000006|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000022,EMP-0064,仓储专员,2024-01-04 11:04:18.374335,2024-01-04 11:17:05.374335,approve,767000
PI-000006,goods_receipt,PI-000006|A02,n_inspect,Quality Inspection,userTask,2,TK-0000023,EMP-0071,质检员,2024-01-04 12:56:58.609609,2024-01-04 15:31:16.609609,reject,9258000
PI-000006,goods_receipt,PI-000006|A03,n_return,Return to Supplier,serviceTask,3,TK-0000024,EMP-0063,仓储专员,2024-01-04 17:14:47.680915,2024-01-04 17:57:59.680915,approve,2592000
PI-000007,goods_receipt,PI-000007|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000025,EMP-0066,仓储专员,2024-01-06 01:32:44.580779,2024-01-06 01:45:47.580779,approve,783000
PI-000007,goods_receipt,PI-000007|A02,n_inspect,Quality Inspection,userTask,2,TK-0000026,EMP-0071,质检员,2024-01-06 05:30:06.538009,2024-01-06 06:07:27.538009,approve,2241000
PI-000007,goods_receipt,PI-000007|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000027,EMP-0062,仓储专员,2024-01-06 08:49:24.409181,2024-01-06 10:07:48.409181,approve,4704000
PI-000008,invoice_verification,PI-000008|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000028,EMP-0077,财务专员,2024-01-10 22:29:12.545421,2024-01-10 23:08:14.545421,approve,2342000
PI-000008,invoice_verification,PI-000008|A02,n_match,Three-Way Match,serviceTask,2,TK-0000029,EMP-0079,财务专员,2024-01-11 01:12:00.813140,2024-01-11 01:18:21.813140,approve,381000
PI-000008,invoice_verification,PI-000008|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000031,EMP-0086,应付会计,2024-01-11 01:22:27.191060,2024-01-11 01:57:38.191060,approve,2111000
PI-000008,invoice_verification,PI-000008|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000030,EMP-0087,应付会计,2024-01-11 02:27:52.070507,2024-01-11 03:33:20.070507,approve,3928000
PI-000008,invoice_verification,PI-000008|A04,n_pay,Post Payment,serviceTask,4,TK-0000032,EMP-0088,出纳,2024-01-11 04:50:46.513241,2024-01-11 04:58:18.513241,approve,452000
PI-000008,invoice_verification,PI-000008|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000033,EMP-0087,应付会计,2024-01-11 08:31:04.812531,2024-01-11 08:35:31.812531,approve,267000
PI-000009,purchase_requisition,PI-000009|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000034,EMP-0011,采购申请人,2024-01-01 15:44:28.661990,2024-01-01 16:26:03.661990,approve,2495000
PI-000009,purchase_requisition,PI-000009|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000036,EMP-0042,部门经理,2024-01-01 16:51:10.323595,2024-01-01 17:36:15.323595,approve,2705000
PI-000009,purchase_requisition,PI-000009|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000035,EMP-0044,部门经理,2024-01-01 17:11:16.305119,2024-01-01 17:33:48.305119,approve,1352000
PI-000009,purchase_requisition,PI-000009|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000037,EMP-0048,部门经理,2024-01-01 17:12:54.838688,2024-01-01 17:54:34.838688,approve,2500000
PI-000009,purchase_requisition,PI-000009|A03,n_convert,Convert to Purchase Order,serviceTask,3,TK-0000038,EMP-0057,采购专员,2024-01-01 21:40:18.082367,2024-01-01 21:47:35.082367,approve,437000
PI-000010,purchase_order,PI-000010|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000039,EMP-0055,采购专员,2024-01-02 18:45:21.424696,2024-01-02 18:56:29.424696,approve,668000
PI-000010,purchase_order,PI-000010|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000040,EMP-0050,采购总监,2024-01-02 21:38:12.614644,2024-01-02 22:23:22.614644,approve,2710000
PI-000010,purchase_order,PI-000010|A03,n_send_po,Send Order to Supplier,serviceTask,3,TK-0000041,EMP-0058,采购专员,2024-01-03 01:07:32.797672,2024-01-03 01:25:07.797672,approve,1055000
PI-000011,goods_receipt,PI-000011|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000042,EMP-0067,仓储专员,2024-01-04 11:24:55.944951,2024-01-04 11:35:54.944951,approve,659000
PI-000011,goods_receipt,PI-000011|A02,n_inspect,Quality Inspection,userTask,2,TK-0000043,EMP-0071,质检员,2024-01-04 14:15:44.740455,2024-01-04 14:36:31.740455,approve,1247000
PI-000011,goods_receipt,PI-000011|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000044,EMP-0065,仓储专员,2024-01-04 17:19:38.159410,2024-01-04 17:39:29.159410,approve,1191000
PI-000012,invoice_verification,PI-000012|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000045,EMP-0081,财务专员,2024-01-09 03:46:54.151103,2024-01-09 04:21:25.151103,approve,2071000
PI-000012,invoice_verification,PI-000012|A02,n_match,Three-Way Match,serviceTask,2,TK-0000046,EMP-0077,财务专员,2024-01-09 07:00:35.569060,2024-01-09 07:12:05.569060,approve,690000
PI-000012,invoice_verification,PI-000012|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000048,EMP-0084,应付会计,2024-01-09 07:41:02.527526,2024-01-09 08:35:27.527526,approve,3265000
PI-000012,invoice_verification,PI-000012|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000047,EMP-0083,应付会计,2024-01-09 09:02:36.112160,2024-01-09 09:32:11.112160,approve,1775000
PI-000012,invoice_verification,PI-000012|A04,n_pay,Post Payment,serviceTask,4,TK-0000049,EMP-0089,出纳,2024-01-09 12:01:09.509911,2024-01-09 12:21:34.509911,approve,1225000
PI-000012,invoice_verification,PI-000012|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000050,EMP-0087,应付会计,2024-01-09 14:11:21.891841,2024-01-09 14:16:03.891841,approve,282000
PI-000013,purchase_requisition,PI-000013|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000051,EMP-0034,采购申请人,2024-01-01 18:35:32.331600,2024-01-01 18:51:00.331600,approve,928000
PI-000013,purchase_requisition,PI-000013|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000052,EMP-0043,部门经理,2024-01-01 19:03:23.510670,2024-01-01 19:50:27.510670,reject,2824000
PI-000013,purchase_requisition,PI-000013|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000053,EMP-0046,部门经理,2024-01-01 19:17:07.225935,2024-01-01 19:49:48.225935,reject,1961000
PI-000013,purchase_requisition,PI-000013|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000054,EMP-0042,部门经理,2024-01-01 19:45:29.169505,2024-01-01 21:09:04.169505,reject,5015000
PI-000013,purchase_requisition,PI-000013|A03,n_revise,Revise Requisition,userTask,3,TK-0000055,EMP-0034,采购申请人,2024-01-01 22:43:27.542013,2024-01-01 22:59:27.542013,approve,960000
PI-000013,purchase_requisition,PI-000013|A04,n_submit,Submit Purchase Requisition,userTask,4,TK-0000056,EMP-0034,采购申请人,2024-01-02 02:25:01.158116,2024-01-02 03:28:50.158116,approve,3829000
PI-000013,purchase_requisition,PI-000013|A05,n_mgr_appr,Approve Requisition by Manager,userTask,5,TK-0000057,EMP-0048,部门经理,2024-01-02 04:05:13.411767,2024-01-02 05:03:32.411767,approve,3499000
PI-000013,purchase_requisition,PI-000013|A05,n_mgr_appr,Approve Requisition by Manager,userTask,5,TK-0000058,EMP-0042,部门经理,2024-01-02 04:09:37.838316,2024-01-02 07:49:20.838316,approve,13183000
PI-000013,purchase_requisition,PI-000013|A06,n_convert,Convert to Purchase Order,serviceTask,6,TK-0000059,EMP-0061,采购专员,2024-01-02 09:59:51.981492,2024-01-02 10:32:57.981492,approve,1986000
PI-000014,purchase_order,PI-000014|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000060,EMP-0058,采购专员,2024-01-02 22:54:28.962669,2024-01-02 23:32:44.962669,approve,2296000
PI-000014,purchase_order,PI-000014|A02,n_send_po,Send Order to Supplier,serviceTask,2,TK-0000061,EMP-0060,采购专员,2024-01-02 23:49:59.369745,2024-01-03 00:00:02.369745,approve,603000
PI-000015,goods_receipt,PI-000015|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000062,EMP-0064,仓储专员,2024-01-03 16:58:24.745381,2024-01-03 17:09:58.745381,approve,694000
PI-000015,goods_receipt,PI-000015|A02,n_inspect,Quality Inspection,userTask,2,TK-0000063,EMP-0072,质检员,2024-01-03 20:15:12.008568,2024-01-03 20:31:29.008568,approve,977000
PI-000015,goods_receipt,PI-000015|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000064,EMP-0064,仓储专员,2024-01-04 00:23:11.571468,2024-01-04 00:38:04.571468,approve,893000
PI-000016,invoice_verification,PI-000016|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000065,EMP-0078,财务专员,2024-01-04 13:55:57.509022,2024-01-04 14:24:37.509022,approve,1720000
PI-000016,invoice_verification,PI-000016|A02,n_match,Three-Way Match,serviceTask,2,TK-0000066,EMP-0080,财务专员,2024-01-04 16:34:49.216981,2024-01-04 16:44:40.216981,approve,591000
PI-000016,invoice_verification,PI-000016|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000068,EMP-0083,应付会计,2024-01-04 17:13:20.109911,2024-01-04 17:43:29.109911,approve,1809000
PI-000016,invoice_verification,PI-000016|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000067,EMP-0086,应付会计,2024-01-04 17:39:31.528450,2024-01-04 17:50:22.528450,approve,651000
PI-000016,invoice_verification,PI-000016|A04,n_pay,Post Payment,serviceTask,4,TK-0000069,EMP-0090,出纳,2024-01-04 18:58:50.690239,2024-01-04 19:25:34.690239,approve,1604000
PI-000016,invoice_verification,PI-000016|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000070,EMP-0086,应付会计,2024-01-04 22:44:37.548077,2024-01-04 22:51:41.548077,approve,424000
PI-000017,purchase_order,PI-000017|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000071,EMP-0055,采购专员,2024-01-03 08:31:11.623467,2024-01-03 08:41:12.623467,approve,601000
PI-000017,purchase_order,PI-000017|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000072,EMP-0051,采购总监,2024-01-03 12:29:00.305814,2024-01-03 13:54:02.305814,approve,5102000
PI-000017,purchase_order,PI-000017|A03,n_send_po,Send Order to Supplier,serviceTask,3,TK-0000073,EMP-0059,采购专员,2024-01-03 15:44:21.566963,2024-01-03 15:46:32.566963,approve,131000
PI-000018,goods_receipt,PI-000018|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000074,EMP-0069,仓储专员,2024-01-05 09:26:50.383718,2024-01-05 09:35:22.383718,approve,512000
PI-000018,goods_receipt,PI-000018|A02,n_inspect,Quality Inspection,userTask,2,TK-0000075,EMP-0074,质检员,2024-01-05 13:23:49.757320,2024-01-05 14:23:30.757320,reject,3581000
PI-000018,goods_receipt,PI-000018|A03,n_return,Return to Supplier,serviceTask,3,TK-0000076,EMP-0066,仓储专员,2024-01-05 18:18:55.957210,2024-01-05 19:20:39.957210,approve,3704000
PI-000019,goods_receipt,PI-000019|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000077,EMP-0064,仓储专员,2024-01-07 14:39:40.378980,2024-01-07 14:56:29.378980,approve,1009000
PI-000019,goods_receipt,PI-000019|A02,n_inspect,Quality Inspection,userTask,2,TK-0000078,EMP-0073,质检员,2024-01-07 16:44:59.989034,2024-01-07 18:49:02.989034,approve,7443000
PI-000019,goods_receipt,PI-000019|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000079,EMP-0063,仓储专员,2024-01-07 21:09:38.987340,2024-01-07 21:48:41.987340,approve,2343000
PI-000020,invoice_verification,PI-000020|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000080,EMP-0081,财务专员,2024-01-09 09:03:35.609119,2024-01-09 09:42:49.609119,approve,2354000
PI-000020,invoice_verification,PI-000020|A02,n_match,Three-Way Match,serviceTask,2,TK-0000081,EMP-0082,财务专员,2024-01-09 10:57:42.288287,2024-01-09 11:07:20.288287,approve,578000
PI-000020,invoice_verification,PI-000020|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000083,EMP-0087,应付会计,2024-01-09 11:41:21.221302,2024-01-09 12:06:14.221302,approve,1493000
PI-000020,invoice_verification,PI-000020|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000082,EMP-0084,应付会计,2024-01-09 11:42:46.346552,2024-01-09 12:08:34.346552,approve,1548000
PI-000020,invoice_verification,PI-000020|A04,n_pay,Post Payment,serviceTask,4,TK-0000084,EMP-0089,出纳,2024-01-09 13:22:01.102527,2024-01-09 13:26:00.102527,approve,239000
PI-000020,invoice_verification,PI-000020|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000085,EMP-0086,应付会计,2024-01-09 13:47:43.737145,2024-01-09 13:51:35.737145,approve,232000
PI-000021,purchase_requisition,PI-000021|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000086,EMP-0013,采购申请人,2024-01-02 00:29:02.648062,2024-01-02 00:43:02.648062,approve,840000
PI-000021,purchase_requisition,PI-000021|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000088,EMP-0046,部门经理,2024-01-02 01:16:21.783900,2024-01-02 02:06:10.783900,approve,2989000
PI-000021,purchase_requisition,PI-000021|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000087,EMP-0048,部门经理,2024-01-02 01:23:00.877277,2024-01-02 02:14:05.877277,approve,3065000
PI-000021,purchase_requisition,PI-000021|A03,n_convert,Convert to Purchase Order,serviceTask,3,TK-0000089,EMP-0061,采购专员,2024-01-02 03:17:56.064701,2024-01-02 03:43:46.064701,approve,1550000
PI-000022,purchase_order,PI-000022|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000090,EMP-0059,采购专员,2024-01-02 12:22:23.725385,2024-01-02 12:36:29.725385,approve,846000
PI-000022,purchase_order,PI-000022|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000091,EMP-0050,采购总监,2024-01-02 15:24:30.524188,2024-01-02 18:52:20.524188,approve,12470000
PI-000022,purchase_order,PI-000022|A03,n_send_po,Send Order to Supplier,serviceTask,3,TK-0000092,EMP-0057,采购专员,2024-01-02 19:24:35.018768,2024-01-02 19:35:59.018768,approve,684000
PI-000023,goods_receipt,PI-000023|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000093,EMP-0063,仓储专员,2024-01-04 04:27:51.333864,2024-01-04 04:53:58.333864,approve,1567000
PI-000023,goods_receipt,PI-000023|A02,n_inspect,Quality Inspection,userTask,2,TK-0000094,EMP-0070,质检员,2024-01-04 07:08:45.078732,2024-01-04 09:01:45.078732,approve,6780000
PI-000023,goods_receipt,PI-000023|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000095,EMP-0069,仓储专员,2024-01-04 12:45:55.486877,2024-01-04 12:58:45.486877,approve,770000
PI-000024,invoice_verification,PI-000024|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000096,EMP-0078,财务专员,2024-01-07 01:39:37.858804,2024-01-07 02:06:45.858804,approve,1628000
PI-000024,invoice_verification,PI-000024|A02,n_match,Three-Way Match,serviceTask,2,TK-0000097,EMP-0081,财务专员,2024-01-07 03:31:38.099732,2024-01-07 03:44:27.099732,approve,769000
PI-000024,invoice_verification,PI-000024|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000099,EMP-0086,应付会计,2024-01-07 04:17:58.236351,2024-01-07 05:04:09.236351,approve,2771000
PI-000024,invoice_verification,PI-000024|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000098,EMP-0084,应付会计,2024-01-07 04:51:23.305718,2024-01-07 05:24:23.305718,approve,1980000
PI-000024,invoice_verification,PI-000024|A04,n_pay,Post Payment,serviceTask,4,TK-0000100,EMP-0090,出纳,2024-01-07 06:25:30.463891,2024-01-07 06:30:01.463891,approve,271000
PI-000024,invoice_verification,PI-000024|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000101,EMP-0085,应付会计,2024-01-07 09:30:01.806528,2024-01-07 09:52:10.806528,approve,1329000
PI-000025,purchase_requisition,PI-000025|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000102,EMP-0010,采购申请人,2024-01-02 03:52:20.130513,2024-01-02 04:04:09.130513,approve,709000
PI-000025,purchase_requisition,PI-000025|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000105,EMP-0047,部门经理,2024-01-02 04:22:49.209447,2024-01-02 05:04:41.209447,approve,2512000
PI-000025,purchase_requisition,PI-000025|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000104,EMP-0048,部门经理,2024-01-02 04:41:57.889439,2024-01-02 05:03:49.889439,approve,1312000
PI-000025,purchase_requisition,PI-000025|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000103,EMP-0046,部门经理,2024-01-02 05:51:12.457425,2024-01-02 06:49:20.457425,approve,3488000
PI-000025,purchase_requisition,PI-000025|A03,n_convert,Convert to Purchase Order,serviceTask,3,TK-0000106,EMP-0053,采购专员,2024-01-02 08:38:36.325003,2024-01-02 08:45:19.325003,approve,403000
PI-000026,purchase_order,PI-000026|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000107,EMP-0054,采购专员,2024-01-02 15:54:27.382459,2024-01-02 16:14:49.382459,approve,1222000
PI-000026,purchase_order,PI-000026|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000108,EMP-0050,采购总监,2024-01-02 18:59:03.695947,2024-01-02 19:42:10.695947,approve,2587000
PI-000026,purchase_order,PI-000026|A03,n_send_po,Send Order to Supplier,serviceTask,3,TK-0000109,EMP-0058,采购专员,2024-01-02 22:29:24.116473,2024-01-02 22:34:02.116473,approve,278000
PI-000027,goods_receipt,PI-000027|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000110,EMP-0066,仓储专员,2024-01-04 01:51:49.172512,2024-01-04 02:14:56.172512,approve,1387000
PI-000027,goods_receipt,PI-000027|A02,n_inspect,Quality Inspection,userTask,2,TK-0000111,EMP-0070,质检员,2024-01-04 05:53:55.871559,2024-01-04 10:15:48.871559,approve,15713000
PI-000027,goods_receipt,PI-000027|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000112,EMP-0065,仓储专员,2024-01-04 12:43:28.488033,2024-01-04 13:01:52.488033,approve,1104000
PI-000028,invoice_verification,PI-000028|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000113,EMP-0076,财务专员,2024-01-08 01:07:04.691496,2024-01-08 01:39:18.691496,approve,1934000
PI-000028,invoice_verification,PI-000028|A02,n_match,Three-Way Match,serviceTask,2,TK-0000114,EMP-0077,财务专员,2024-01-08 02:05:29.572094,2024-01-08 02:08:30.572094,approve,181000
PI-000028,invoice_verification,PI-000028|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000116,EMP-0085,应付会计,2024-01-08 02:38:27.402542,2024-01-08 06:12:04.402542,approve,12817000
PI-000028,invoice_verification,PI-000028|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000115,EMP-0087,应付会计,2024-01-08 03:49:00.833169,2024-01-08 03:58:27.833169,approve,567000
PI-000028,invoice_verification,PI-000028|A04,n_pay,Post Payment,serviceTask,4,TK-0000117,EMP-0088,出纳,2024-01-08 08:07:07.875125,2024-01-08 08:11:27.875125,approve,260000
PI-000028,invoice_verification,PI-000028|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000118,EMP-0086,应付会计,2024-01-08 12:03:46.378562,2024-01-08 12:14:26.378562,approve,640000
PI-000029,purchase_requisition,PI-000029|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000119,EMP-0035,采购申请人,2024-01-02 04:41:46.231153,2024-01-02 04:58:36.231153,approve,1010000
PI-000029,purchase_requisition,PI-000029|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000122,EMP-0041,部门经理,2024-01-02 05:31:46.893341,2024-01-02 06:20:16.893341,approve,2910000
PI-000029,purchase_requisition,PI-000029|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000121,EMP-0046,部门经理,2024-01-02 05:38:15.584426,2024-01-02 06:11:05.584426,approve,1970000
PI-000029,purchase_requisition,PI-000029|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000120,EMP-0044,部门经理,2024-01-02 06:16:40.518217,2024-01-02 07:08:38.518217,approve,3118000
PI-000029,purchase_requisition,PI-000029|A03,n_convert,Convert to Purchase Order,serviceTask,3,TK-0000123,EMP-0060,采购专员,2024-01-02 08:52:08.205440,2024-01-02 09:06:14.205440,approve,846000
PI-000030,purchase_order,PI-000030|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000124,EMP-0058,采购专员,2024-01-03 09:44:49.611748,2024-01-03 10:07:50.611748,approve,1381000
PI-000030,purchase_order,PI-000030|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000125,EMP-0049,采购总监,2024-01-03 13:17:44.415473,2024-01-03 14:21:00.415473,approve,3796000
PI-000030,purchase_order,PI-000030|A03,n_send_po,Send Order to Supplier,serviceTask,3,TK-0000126,EMP-0060,采购专员,2024-01-03 15:14:41.334395,2024-01-03 15:18:36.334395,approve,235000
PI-000031,goods_receipt,PI-000031|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000127,EMP-0062,仓储专员,2024-01-05 17:04:14.076467,2024-01-05 17:32:05.076467,approve,1671000
PI-000031,goods_receipt,PI-000031|A02,n_inspect,Quality Inspection,userTask,2,TK-0000128,EMP-0071,质检员,2024-01-05 20:31:23.301070,2024-01-05 21:22:16.301070,approve,3053000
PI-000031,goods_receipt,PI-000031|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000129,EMP-0063,仓储专员,2024-01-05 23:13:29.577491,2024-01-05 23:26:04.577491,approve,755000
PI-000032,goods_receipt,PI-000032|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000130,EMP-0069,仓储专员,2024-01-08 01:49:57.365591,2024-01-08 01:53:16.365591,approve,199000
PI-000032,goods_receipt,PI-000032|A02,n_inspect,Quality Inspection,userTask,2,TK-0000131,EMP-0074,质检员,2024-01-08 04:07:08.191311,2024-01-08 04:55:15.191311,approve,2887000
PI-000032,goods_receipt,PI-000032|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000132,EMP-0063,仓储专员,2024-01-08 08:20:39.568907,2024-01-08 09:26:23.568907,approve,3944000
PI-000033,invoice_verification,PI-000033|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000133,EMP-0082,财务专员,2024-01-09 17:35:24.581160,2024-01-09 18:12:44.581160,approve,2240000
PI-000033,invoice_verification,PI-000033|A02,n_match,Three-Way Match,serviceTask,2,TK-0000134,EMP-0077,财务专员,2024-01-09 20:59:08.757760,2024-01-09 21:06:51.757760,approve,463000
