invoice_no,po_no,amount,status,received_at
INV-000040,PO-000034,144750.69,PAID,2024-01-13 07:27:02.771063
INV-000041,PO-000035,11855.57,PAID,2024-01-16 07:34:36.384343
INV-000042,PO-000036,278008.25,PAID,2024-01-09 06:46:48.109248
INV-000043,PO-000037,42841.25,PAID,2024-01-11 05:07:02.055626
INV-000044,PO-000038,286966.3,PAID,2024-01-15 01:58:59.862717
INV-000045,PO-000039,290979.95,PAID,2024-01-15 22:38:52.873723
INV-000046,PO-000040,195583.77,PAID,2024-01-12 12:10:39.503989
INV-000047,PO-000041,136267.1,PAID,2024-01-11 12:34:15.951227
INV-000048,PO-000042,100131.59,PAID,2024-01-15 20:47:45.032995
INV-000049,PO-000042,65899.76,PAID,2024-01-16 11:33:58.735406
INV-000050,PO-000043,30648.66,PAID,2024-01-12 20:39:26.610062
INV-000051,PO-000043,20749.59,PAID,2024-01-16 04:20:51.018182
INV-000052,PO-000044,85050.46,PAID,2024-01-13 17:23:50.983461
INV-000053,PO-000045,64841.0,PAID,2024-01-16 17:04:09.300519
INV-000054,PO-000046,35476.36,PAID,2024-01-14 23:53:14.071969
INV-000055,PO-000047,192145.5,PAID,2024-01-13 14:52:19.672437
INV-000056,PO-000048,9441.03,PAID,2024-01-16 18:00:02.098893
INV-000057,PO-000048,6357.33,PAID,2024-01-20 22:43:44.512514
INV-000058,PO-000049,45926.83,PAID,2024-01-16 02:52:30.174975
INV-000059,PO-000049,31003.54,PAID,2024-01-19 10:14:51.381543
INV-000060,PO-000050,88596.95,PAID,2024-01-14 06:45:39.800319
INV-000061,PO-000051,147942.01,PAID,2024-01-16 06:10:03.180662
INV-000062,PO-000052,180316.12,PAID,2024-01-17 05:11:46.278619
INV-000063,PO-000053,16750.09,PAID,2024-01-16 05:30:58.402338
INV-000064,PO-000053,11435.98,PAID,2024-01-20 01:21:41.036733
INV-000065,PO-000054,72033.17,PAID,2024-01-14 04:32:27.345244
INV-000066,PO-000055,91106.55,PAID,2024-01-15 18:58:57.485043
INV-000067,PO-000056,71568.92,PAID,2024-01-18 06:38:49.523270
INV-000068,PO-000057,695.52,PAID,2024-01-19 20:30:53.282790
INV-000069,PO-000058,61300.57,PAID,2024-01-18 07:31:30.383338
INV-000070,PO-000059,172618.63,PAID,2024-01-18 03:40:27.956139
INV-000071,PO-000060,15568.13,PAID,2024-01-19 04:21:27.363174
INV-000072,PO-000061,87099.35,PAID,2024-01-14 21:36:31.897310
INV-000073,PO-000062,186314.38,PAID,2024-01-16 18:12:58.641767
INV-000074,PO-000063,11670.85,PAID,2024-01-18 00:37:21.392842
INV-000075,PO-000064,84181.39,PAID,2024-01-18 02:33:05.072412
INV-000076,PO-000065,126968.43,PAID,2024-01-18 12:54:45.661002
INV-000077,PO-000066,204005.7,PAID,2024-01-16 00:44:37.183205
INV-000078,PO-000068,85123.05,PAID,2024-01-17 18:12:03.304715
INV-000079,PO-000069,63463.86,PAID,2024-01-19 18:26:30.754535
INV-000080,PO-000070,168973.83,PAID,2024-01-18 10:34:55.297014
INV-000081,PO-000071,149436.11,PAID,2024-01-18 14:01:11.738455
INV-000082,PO-000072,100126.17,PAID,2024-01-16 05:34:17.702060
INV-000083,PO-000073,92125.81,PAID,2024-01-19 03:31:48.000662
INV-000084,PO-000074,247916.77,PAID,2024-01-18 17:01:02.553446
INV-000085,PO-000075,56422.81,PAID,2024-01-17 04:52:03.488930
INV-000086,PO-000076,30191.84,PAID,2024-01-20 11:58:40.118997
INV-000087,PO-000077,92175.61,PAID,2024-01-20 12:39:12.782737
INV-000088,PO-000078,11861.82,PAID,2024-01-21 08:26:50.629172
INV-000089,PO-000078,8164.8,PAID,2024-01-26 16:03:35.194380
INV-000090,PO-000079,152165.95,PAID,2024-01-18 12:41:56.054165
INV-000091,PO-000080,80872.73,PAID,2024-01-18 07:40:14.020427
INV-000092,PO-000080,53268.95,PAID,2024-01-19 23:34:48.191585
INV-000093,PO-000081,110712.37,PAID,2024-01-20 17:55:38.143843
INV-000094,PO-000082,10296.61,PAID,2024-01-18 07:30:19.183420
INV-000095,PO-000083,26096.97,PAID,2024-01-21 06:53:05.807273
INV-000096,PO-000084,120534.77,PAID,2024-01-24 02:10:55.873998
INV-000097,PO-000084,79180.34,PAID,2024-01-25 21:57:09.230168
INV-000098,PO-000085,243979.74,PAID,2024-01-23 06:31:46.739399
INV-000099,PO-000086,127171.1,PAID,2024-01-26 18:45:22.013716
INV-000100,PO-000087,36785.95,PAID,2024-01-22 21:19:57.439593
INV-000101,PO-000087,24620.38,PAID,2024-01-24 04:41:36.831266
INV-000102,PO-000088,32052.08,PAID,2024-01-26 09:11:53.819131
INV-000103,PO-000090,194546.7,PAID,2024-01-21 22:10:31.926461
INV-000104,PO-000091,68582.91,PAID,2024-01-24 00:04:22.558378
INV-000105,PO-000091,44888.38,PAID,2024-01-28 20:37:31.710634
INV-000106,PO-000092,22474.25,PAID,2024-01-23 04:31:11.287533
INV-000107,PO-000093,164805.48,PAID,2024-01-24 00:19:12.366089
INV-000108,PO-000094,177010.43,PAID,2024-01-28 12:51:25.029987
INV-000109,PO-000095,20477.83,PAID,2024-01-22 18:36:01.423060
INV-000110,PO-000095,13655.57,PAID,2024-01-24 04:29:11.958002
INV-000111,PO-000096,103126.27,PAID,2024-01-25 16:29:55.724866
INV-000112,PO-000097,61563.79,PAID,2024-01-24 02:14:36.727224
INV-000113,PO-000098,68039.39,PAID,2024-01-30 01:01:19.979980
INV-000114,PO-000099,120624.94,PAID,2024-01-28 14:38:31.526152
INV-000115,PO-000100,51386.5,PAID,2024-01-26 22:59:43.964157
INV-000116,PO-000101,141808.57,PAID,2024-01-22 07:19:41.531154
INV-000117,PO-000102,20875.12,PAID,2024-01-25 03:03:45.936152
INV-000118,PO-000103,137603.57,PAID,2024-01-23 03:28:00.179905
INV-000119,PO-000104,12598.42,PAID,2024-01-26 02:43:08.290567
INV-000120,PO-000105,88141.38,PAID,2024-01-27 00:36:40.731443
INV-000121,PO-000106,20467.89,PAID,2024-01-25 08:55:42.891361
INV-000122,PO-000106,13937.15,PAID,2024-01-27 19:44:28.742233
INV-000123,PO-000107,111394.89,PAID,2024-01-27 20:22:25.191482
INV-000124,PO-000108,178101.72,PAID,2024-01-24 21:28:02.269045
INV-000125,PO-000109,96070.88,PAID,2024-01-29 00:26:35.713527
INV-000126,PO-000110,11385.79,PAID,2024-01-27 09:43:56.638735
INV-000127,PO-000111,117703.92,PAID,2024-01-28 00:50:36.500612
INV-000128,PO-000112,6398.82,PAID,2024-01-26 11:41:48.973298
INV-000129,PO-000113,90040.39,PAID,2024-01-25 15:57:07.582333
INV-000130,PO-000114,8292.91,PAID,2024-01-30 17:34:32.719470
INV-000131,PO-000115,86709.84,PAID,2024-01-29 11:28:59.796696
INV-000132,PO-000115,58358.57,PAID,2024-02-03 01:10:58.786159
INV-000133,PO-000116,54853.29,PAID,2024-01-28 11:29:06.127488
INV-000134,PO-000117,91790.7,PAID,2024-02-01 04:54:16.486413
INV-000135,PO-000118,44776.11,PAID,2024-01-25 23:18:34.452049
INV-000136,PO-000119,38414.78,PAID,2024-01-29 01:10:32.981093
INV-000137,PO-000120,4186.87,PAID,2024-01-29 06:52:52.684748
INV-000138,PO-000121,90214.47,PAID,2024-01-27 00:30:43.044819
INV-000139,PO-000122,1430.56,PAID,2024-01-28 17:38:06.733545
INV-000140,PO-000123,24009.86,PAID,2024-01-30 12:59:21.848158
INV-000141,PO-000124,196502.42,PAID,2024-01-27 13:01:32.844172
INV-000142,PO-000124,132498.44,PAID,2024-01-30 10:36:07.235068
INV-000143,PO-000125,108106.01,PAID,2024-01-30 22:20:19.107672
INV-000144,PO-000125,70674.0,PAID,2024-02-04 23:42:20.140873
INV-000145,PO-000126,99223.02,PAID,2024-01-29 09:16:22.154153
INV-000146,PO-000127,200321.75,PAID,2024-01-28 07:48:03.925846
INV-000147,PO-000128,14990.56,PAID,2024-01-25 14:09:06.187886
INV-000148,PO-000129,38526.1,PAID,2024-01-26 18:28:23.661893
INV-000149,PO-000130,97199.81,PAID,2024-01-28 06:50:31.427217
INV-000150,PO-000131,71170.84,PAID,2024-01-31 15:23:06.186186
INV-000151,PO-000132,197433.49,PAID,2024-01-31 20:07:23.469566
INV-000152,PO-000133,160398.89,PAID,2024-01-30 23:30:42.373358
INV-000153,PO-000134,31297.51,PAID,2024-01-27 07:55:28.154129
INV-000154,PO-000135,129289.28,PAID,2024-01-30 20:39:41.089832
INV-000155,PO-000135,86363.89,PAID,2024-02-01 23:05:33.014704
INV-000156,PO-000136,159684.89,PAID,2024-01-29 23:44:39.759472
INV-000157,PO-000137,112568.88,PAID,2024-01-28 05:43:31.941195
INV-000158,PO-000138,30240.12,PAID,2024-01-29 03:29:56.693497
INV-000159,PO-000138,20697.09,PAID,2024-02-02 07:56:20.094838
INV-000160,PO-000139,137770.4,PAID,2024-01-30 14:09:19.091035
INV-000161,PO-000140,65968.87,PAID,2024-01-27 09:12:07.974367
INV-000162,PO-000141,2745.7,PAID,2024-01-30 09:41:16.268057
INV-000163,PO-000142,19323.01,PAID,2024-02-02 04:15:14.373026
INV-000164,PO-000143,71934.03,PAID,2024-01-29 14:33:08.163870
INV-000165,PO-000144,182529.54,PAID,2024-02-01 05:46:25.637702
INV-000166,PO-000145,132221.93,PAID,2024-02-02 07:27:06.462968
INV-000167,PO-000146,57188.07,PAID,2024-01-29 09:23:26.102472
INV-000168,PO-000147,19353.72,PAID,2024-01-28 18:19:51.250454
INV-000169,PO-000148,200378.34,PAID,2024-01-30 14:15:22.252843
INV-000170,PO-000149,104078.99,PAID,2024-02-01 10:11:03.379261
INV-000171,PO-000150,75713.75,PAID,2024-01-28 22:24:10.742797
INV-000172,PO-000151,105621.94,PAID,2024-02-01 02:52:19.434127
INV-000173,PO-000151,72764.33,PAID,2024-02-03 23:11:37.438370
INV-000174,PO-000152,225958.87,PAID,2024-02-01 11:42:14.046508
INV-000175,PO-000153,31178.35,PAID,2024-02-02 16:57:21.259645
INV-000176,PO-000154,109624.21,PAID,2024-01-31 02:08:30.332407
INV-000177,PO-000155,39245.47,PAID,2024-01-31 13:57:58.466773
INV-000178,PO-000156,154034.86,PAID,2024-02-04 21:38:58.678414
INV-000179,PO-000157,103105.85,PAID,2024-02-03 14:32:07.367107
INV-000180,PO-000158,157764.13,PAID,2024-02-02 23:31:52.865218
INV-000181,PO-000159,1853.52,PAID,2024-02-02 07:45:36.463743
INV-000182,PO-000160,222478.23,PAID,2024-02-04 17:51:59.192968
INV-000183,PO-000161,5065.4,PAID,2024-02-03 10:21:08.657451
INV-000184,PO-000162,8108.95,PAID,2024-02-02 17:07:58.446299
INV-000185,PO-000163,77376.09,PAID,2024-02-03 22:35:44.974569
INV-000186,PO-000163,51264.38,PAID,2024-02-07 06:35:48.462301
INV-000187,PO-000164,15451.01,PAID,2024-02-05 00:14:29.555210
INV-000188,PO-000164,10248.62,PAID,2024-02-07 07:19:27.305916
INV-000189,PO-000165,72611.25,PAID,2024-02-05 06:02:55.308363
INV-000190,PO-000166,26613.1,PAID,2024-02-03 02:19:26.675401
INV-000191,PO-000167,60877.38,PAID,2024-02-03 15:49:00.089033
INV-000192,PO-000168,48210.54,PAID,2024-02-01 03:23:58.093906
INV-000193,PO-000169,77188.38,PAID,2024-02-03 18:40:25.909504
INV-000194,PO-000170,104396.94,PAID,2024-02-06 09:10:44.054517
INV-000195,PO-000171,60004.5,PAID,2024-02-01 23:30:10.008981
INV-000196,PO-000171,40960.63,PAID,2024-02-03 01:56:51.230682
INV-000197,PO-000172,59582.63,PAID,2024-02-03 21:35:01.383065
INV-000198,PO-000173,83635.97,PAID,2024-02-08 02:38:42.929613
INV-000199,PO-000174,41509.24,PAID,2024-02-07 20:26:45.932286
INV-000200,PO-000175,53201.39,PAID,2024-02-06 05:07:02.226179
INV-000201,PO-000176,20200.44,PAID,2024-02-03 02:46:13.101974
INV-000202,PO-000177,55695.58,PAID,2024-02-02 05:19:54.401302
INV-000203,PO-000178,44706.55,PAID,2024-02-03 17:33:13.240503
INV-000204,PO-000179,3234.36,PAID,2024-02-06 03:01:31.372272
INV-000205,PO-000180,1498.86,PAID,2024-02-04 20:04:36.100193
INV-000206,PO-000180,1020.33,PAID,2024-02-05 16:41:38.230321
INV-000207,PO-000181,258948.61,PAID,2024-02-04 22:03:15.406703
INV-000208,PO-000182,103890.6,PAID,2024-02-05 11:41:13.503078
INV-000209,PO-000182,67922.45,PAID,2024-02-08 05:34:59.479321
INV-000210,PO-000183,64622.6,PAID,2024-02-09 00:35:18.921145
INV-000211,PO-000184,16705.05,PAID,2024-02-08 04:46:02.970517
INV-000212,PO-000185,16009.55,PAID,2024-02-06 03:03:30.202008
INV-000213,PO-000186,89554.17,PAID,2024-02-10 10:31:56.657222
INV-000214,PO-000187,131825.92,PAID,2024-02-08 18:21:42.670342
INV-000215,PO-000188,87822.49,PAID,2024-02-07 16:10:54.731398
INV-000216,PO-000189,175189.61,PAID,2024-02-07 17:46:52.319833
INV-000217,PO-000190,99357.97,PAID,2024-02-05 12:20:26.253865
INV-000218,PO-000191,238386.77,PAID,2024-02-10 13:03:49.983182
INV-000219,PO-000192,36068.4,PAID,2024-02-07 03:02:15.054242
INV-000220,PO-000193,38555.7,PAID,2024-02-09 08:30:05.574729
INV-000221,PO-000193,25439.98,PAID,2024-02-14 12:29:39.631138
INV-000222,PO-000194,79724.84,PAID,2024-02-09 14:40:34.316795
INV-000223,PO-000195,7083.53,PAID,2024-02-07 21:28:45.127304
INV-000224,PO-000196,94879.7,PAID,2024-02-09 10:11:48.307866
INV-000225,PO-000197,18468.07,PAID,2024-02-09 01:41:16.297544
INV-000226,PO-000198,18200.44,PAID,2024-02-06 21:14:44.149407
INV-000227,PO-000199,239835.52,PAID,2024-02-08 04:46:46.860940
INV-000228,PO-000200,93630.87,PAID,2024-02-11 06:55:32.537531
INV-000229,PO-000201,137407.52,PAID,2024-02-07 21:54:46.784576
INV-000230,PO-000202,27082.46,PAID,2024-02-12 02:01:06.640779
INV-000231,PO-000203,76262.13,PAID,2024-02-07 19:30:22.450646
INV-000232,PO-000204,103400.18,PAID,2024-02-08 10:01:49.639279
INV-000233,PO-000205,136290.99,PAID,2024-02-08 23:20:55.888610
INV-000234,PO-000206,80570.31,PAID,2024-02-08 16:16:19.512811
INV-000235,PO-000207,111070.17,PAID,2024-02-13 13:01:15.757682
INV-000236,PO-000208,13030.94,PAID,2024-02-09 23:03:26.349539
INV-000237,PO-000209,42193.15,PAID,2024-02-13 03:30:12.102845
INV-000238,PO-000209,27902.14,PAID,2024-02-17 13:30:58.553926
INV-000239,PO-000210,337341.55,PAID,2024-02-12 16:45:44.461512
INV-000240,PO-000211,172358.93,PAID,2024-02-08 03:05:40.380383
INV-000241,PO-000212,79900.27,PAID,2024-02-14 13:06:39.848911
INV-000242,PO-000213,1646.41,PAID,2024-02-13 11:55:20.487422
