po_no,pr_no,supplier_code,amount,status,created_at
PO-000089,PR-000084,SUP-005,86751.5,CANCELLED,2024-01-18 10:00:05.928629
PO-000090,PR-000085,SUP-004,197424.37,SENT,2024-01-18 05:17:53.927981
PO-000091,PR-000085,SUP-001,113293.78,SENT,2024-01-18 15:29:08.614454
PO-000092,PR-000086,SUP-011,22274.0,SENT,2024-01-18 07:14:02.188839
PO-000093,PR-000087,SUP-009,164508.63,SENT,2024-01-18 07:28:43.216738
PO-000094,PR-000088,SUP-003,173933.27,SENT,2024-01-18 21:41:47.066299
PO-000095,PR-000089,SUP-004,34165.72,SENT,2024-01-18 21:27:21.430103
PO-000096,PR-000089,SUP-011,102474.08,SENT,2024-01-18 23:41:48.787027
PO-000097,PR-000090,SUP-008,61787.55,SENT,2024-01-19 12:48:26.605596
PO-000098,PR-000091,SUP-012,67909.03,SENT,2024-01-19 23:15:42.111744
PO-000099,PR-000092,SUP-009,119915.19,SENT,2024-01-20 02:51:52.043343
PO-000100,PR-000093,SUP-010,50460.77,SENT,2024-01-19 12:15:38.909544
PO-000101,PR-000094,SUP-011,142853.88,SENT,2024-01-19 23:59:31.252011
PO-000102,PR-000095,SUP-011,20700.35,SENT,2024-01-20 09:26:53.810849
PO-000103,PR-000096,SUP-006,139858.9,SENT,2024-01-20 00:34:11.139868
PO-000104,PR-000097,SUP-007,12651.76,SENT,2024-01-20 07:44:15.617259
PO-000105,PR-000098,SUP-010,86701.32,SENT,2024-01-20 17:44:20.170690
PO-000106,PR-000099,SUP-009,34690.59,SENT,2024-01-20 14:28:10.379160
PO-000107,PR-000100,SUP-001,109489.93,SENT,2024-01-20 19:44:32.801310
PO-000108,PR-000100,SUP-007,178767.27,SENT,2024-01-21 05:41:20.446354
PO-000109,PR-000101,SUP-001,96264.78,SENT,2024-01-21 03:35:49.870330
PO-000110,PR-000102,SUP-010,11600.08,SENT,2024-01-21 02:45:24.393940
PO-000111,PR-000103,SUP-010,116787.93,SENT,2024-01-21 22:59:57.443991
PO-000112,PR-000104,SUP-004,6501.32,SENT,2024-01-22 02:31:47.705507
PO-000113,PR-000105,SUP-004,88371.63,SENT,2024-01-22 11:52:39.145680
PO-000114,PR-000106,SUP-012,8262.7,SENT,2024-01-22 12:27:22.576068
PO-000115,PR-000107,SUP-011,144823.83,SENT,2024-01-22 06:26:09.020451
PO-000116,PR-000108,SUP-006,55333.5,SENT,2024-01-22 20:24:25.263705
PO-000117,PR-000109,SUP-007,91426.84,SENT,2024-01-23 00:46:25.094810
PO-000118,PR-000110,SUP-002,45268.68,SENT,2024-01-23 03:00:18.022113
PO-000119,PR-000110,SUP-008,38628.58,SENT,2024-01-22 22:19:54.587725
PO-000120,PR-000111,SUP-004,4259.48,SENT,2024-01-22 12:53:30.014792
PO-000121,PR-000112,SUP-008,90322.85,SENT,2024-01-23 07:00:51.953694
PO-000122,PR-000112,SUP-011,1436.12,SENT,2024-01-22 19:27:48.724716
PO-000123,PR-000113,SUP-012,24466.64,SENT,2024-01-22 09:39:39.050592
PO-000124,PR-000115,SUP-004,331782.27,SENT,2024-01-23 05:27:52.613919
PO-000125,PR-000115,SUP-007,176881.77,SENT,2024-01-22 18:36:43.537524
PO-000126,PR-000116,SUP-003,97686.41,SENT,2024-01-22 18:26:39.808877
PO-000127,PR-000117,SUP-004,202044.59,SENT,2024-01-22 22:54:19.057975
PO-000128,PR-000118,SUP-001,15011.94,SENT,2024-01-23 04:02:07.573881
PO-000129,PR-000119,SUP-001,39224.92,SENT,2024-01-23 04:14:46.446169
PO-000130,PR-000120,SUP-003,98994.92,SENT,2024-01-23 11:25:24.245844
PO-000131,PR-000121,SUP-004,72115.96,SENT,2024-01-23 21:56:22.961881
PO-000132,PR-000122,SUP-009,194067.87,SENT,2024-01-24 12:59:09.752637
PO-000133,PR-000123,SUP-005,158893.26,SENT,2024-01-24 17:49:37.408210
PO-000134,PR-000124,SUP-006,31466.01,SENT,2024-01-24 17:02:34.352104
PO-000135,PR-000125,SUP-005,212682.73,SENT,2024-01-24 01:51:45.319621
PO-000136,PR-000126,SUP-009,160589.69,SENT,2024-01-24 16:25:06.943281
PO-000137,PR-000127,SUP-011,114257.38,SENT,2024-01-25 04:41:18.317909
PO-000138,PR-000128,SUP-006,51186.02,SENT,2024-01-26 01:43:10.446238
PO-000139,PR-000129,SUP-004,139520.05,SENT,2024-01-24 19:14:31.934590
PO-000140,PR-000130,SUP-009,65959.93,SENT,2024-01-25 00:15:47.639238
PO-000141,PR-000131,SUP-008,2796.52,SENT,2024-01-24 22:53:51.659920
PO-000142,PR-000132,SUP-010,19439.81,SENT,2024-01-26 05:46:44.669708
PO-000143,PR-000133,SUP-003,71988.39,SENT,2024-01-26 06:41:21.187155
PO-000144,PR-000134,SUP-002,182696.06,SENT,2024-01-26 04:29:18.293040
PO-000145,PR-000135,SUP-002,130756.26,SENT,2024-01-25 21:58:35.698915
PO-000146,PR-000136,SUP-007,57026.11,SENT,2024-01-25 23:49:27.585363
PO-000147,PR-000137,SUP-004,19143.36,SENT,2024-01-26 17:37:06.519410
PO-000148,PR-000139,SUP-007,201826.52,SENT,2024-01-26 17:19:46.854672
PO-000149,PR-000140,SUP-004,102181.02,SENT,2024-01-27 15:57:02.205670
PO-000150,PR-000141,SUP-008,74998.52,SENT,2024-01-27 10:10:33.213032
PO-000151,PR-000142,SUP-005,179307.01,SENT,2024-01-27 15:14:13.046004
PO-000152,PR-000143,SUP-011,222239.07,SENT,2024-01-27 18:32:33.249556
PO-000153,PR-000144,SUP-009,31196.19,SENT,2024-01-27 07:24:22.315304
PO-000154,PR-000145,SUP-003,107681.28,SENT,2024-01-27 23:51:13.579776
PO-000155,PR-000146,SUP-011,38849.8,SENT,2024-01-28 08:26:36.581376
PO-000156,PR-000147,SUP-009,155746.28,SENT,2024-01-28 13:23:45.809051
PO-000157,PR-000149,SUP-008,102098.73,SENT,2024-01-28 19:12:12.660847
PO-000158,PR-000150,SUP-009,160592.0,SENT,2024-01-29 07:58:35.700918
PO-000159,PR-000151,SUP-002,1841.0,SENT,2024-01-28 13:40:19.432985
PO-000160,PR-000152,SUP-006,223474.03,SENT,2024-01-29 09:05:32.883851
PO-000161,PR-000153,SUP-012,5148.0,SENT,2024-01-29 19:37:15.368208
PO-000162,PR-000154,SUP-001,8273.28,SENT,2024-01-29 23:50:08.609719
PO-000163,PR-000156,SUP-009,129904.05,SENT,2024-01-29 16:02:36.672017
PO-000164,PR-000157,SUP-011,25619.28,SENT,2024-01-29 22:29:01.125278
PO-000165,PR-000157,SUP-006,71369.65,SENT,2024-01-29 14:38:03.397032
PO-000166,PR-000158,SUP-007,26657.8,SENT,2024-01-30 04:32:00.419838
PO-000167,PR-000159,SUP-009,61816.22,SENT,2024-01-29 16:52:47.792122
PO-000168,PR-000160,SUP-004,47874.84,SENT,2024-01-30 09:20:14.435039
PO-000169,PR-000161,SUP-009,75996.78,SENT,2024-01-30 01:02:19.453404
PO-000170,PR-000162,SUP-012,103745.88,SENT,2024-01-31 00:03:10.998084
PO-000171,PR-000163,SUP-011,100986.92,SENT,2024-01-30 22:20:18.682807
PO-000172,PR-000164,SUP-009,60599.48,SENT,2024-01-31 10:25:41.127762
PO-000173,PR-000165,SUP-003,83116.76,SENT,2024-01-31 08:14:22.428784
PO-000174,PR-000166,SUP-010,40935.15,SENT,2024-01-31 12:29:21.412090
PO-000175,PR-000167,SUP-012,52676.0,SENT,2024-01-30 23:11:06.496652
PO-000176,PR-000167,SUP-011,20340.27,SENT,2024-01-31 21:24:46.342678
PO-000177,PR-000168,SUP-012,55366.65,SENT,2024-01-31 13:56:48.504508
PO-000178,PR-000169,SUP-005,44543.4,SENT,2024-01-31 06:53:33.412736
PO-000179,PR-000170,SUP-003,3180.21,SENT,2024-01-31 06:20:48.012351
PO-000180,PR-000171,SUP-001,2507.46,SENT,2024-01-31 19:40:53.401010
PO-000181,PR-000172,SUP-009,259566.38,SENT,2024-02-01 07:12:50.645089
PO-000182,PR-000173,SUP-011,170837.82,SENT,2024-02-01 05:46:06.475897
PO-000183,PR-000174,SUP-012,65525.85,SENT,2024-02-01 20:40:44.513329
PO-000184,PR-000175,SUP-005,16778.65,SENT,2024-02-02 02:04:36.597138
PO-000185,PR-000175,SUP-006,16305.52,SENT,2024-02-01 21:43:36.507657
PO-000186,PR-000177,SUP-011,88322.22,SENT,2024-02-02 10:20:15.463041
PO-000187,PR-000178,SUP-010,132121.52,SENT,2024-02-01 22:29:02.930409
PO-000188,PR-000179,SUP-008,87112.71,SENT,2024-02-02 19:10:28.109513
PO-000189,PR-000180,SUP-011,173544.67,SENT,2024-02-02 11:36:23.091222
PO-000190,PR-000181,SUP-004,98619.99,SENT,2024-02-02 16:47:04.839270
PO-000191,PR-000182,SUP-011,236269.77,SENT,2024-02-03 15:49:52.516681
PO-000192,PR-000183,SUP-004,36763.23,SENT,2024-02-03 10:07:41.576173
PO-000193,PR-000183,SUP-002,63312.66,SENT,2024-02-02 22:03:20.050792
PO-000194,PR-000184,SUP-008,78415.58,SENT,2024-02-03 09:52:50.857047
PO-000195,PR-000185,SUP-004,7096.53,SENT,2024-02-03 22:57:42.085073
PO-000196,PR-000186,SUP-003,94391.77,SENT,2024-02-03 18:22:50.498684
PO-000197,PR-000187,SUP-004,18813.96,SENT,2024-02-04 15:04:26.367615
PO-000198,PR-000187,SUP-011,17952.24,SENT,2024-02-03 17:42:17.956580
PO-000199,PR-000188,SUP-006,237310.81,SENT,2024-02-04 09:02:10.794117
PO-000200,PR-000189,SUP-004,95205.92,SENT,2024-02-04 05:23:27.479691
PO-000201,PR-000190,SUP-008,136864.74,SENT,2024-02-04 15:32:46.015668
PO-000202,PR-000191,SUP-001,27141.07,SENT,2024-02-05 11:37:50.746191
PO-000203,PR-000192,SUP-009,77105.68,SENT,2024-02-05 10:05:26.349910
PO-000204,PR-000193,SUP-007,104665.68,SENT,2024-02-04 20:44:09.828197
PO-000205,PR-000194,SUP-005,134850.05,SENT,2024-02-04 21:40:36.980943
PO-000206,PR-000195,SUP-004,80496.53,SENT,2024-02-05 11:42:15.679715
PO-000207,PR-000196,SUP-001,113295.91,SENT,2024-02-05 19:14:34.514861
PO-000208,PR-000196,SUP-005,13129.12,SENT,2024-02-05 19:34:44.681761
PO-000209,PR-000197,SUP-012,69027.21,SENT,2024-02-05 15:52:44.479584
PO-000210,PR-000197,SUP-006,343480.14,SENT,2024-02-06 06:15:07.494059
PO-000211,PR-000198,SUP-010,170700.37,SENT,2024-02-06 06:50:55.200743
PO-000212,PR-000199,SUP-004,80123.61,SENT,2024-02-06 16:00:18.295054
PO-000213,PR-000200,SUP-008,1646.72,SENT,2024-02-06 03:51:33.095383
